recommendation_id,device_id,case_id,risk_level,requires_evidence_review,requires_impact_review,requires_written_justification
REC-0332,DEV-0006,CASE-0332,High,True,True,False
REC-0333,DEV-0078,CASE-0333,Low,False,False,False
REC-0334,DEV-0012,CASE-0334,Low,False,False,False
REC-0335,DEV-0059,CASE-0335,Critical,True,True,True
REC-0336,DEV-0197,CASE-0336,Critical,True,True,True
REC-0337,DEV-0026,CASE-0337,Low,False,False,False
REC-0338,DEV-0033,CASE-0338,Low,False,False,False
REC-0339,DEV-0188,CASE-0339,Low,False,False,False
REC-0340,DEV-0087,CASE-0340,High,True,True,False
REC-0341,DEV-0031,CASE-0341,High,True,True,False
REC-0342,DEV-0134,CASE-0342,Critical,True,True,True
REC-0343,DEV-0126,CASE-0343,Medium,True,False,False
REC-0344,DEV-0089,CASE-0344,Medium,True,False,False
REC-0345,DEV-0004,CASE-0345,Medium,True,False,False
REC-0346,DEV-0170,CASE-0346,Medium,True,False,False
REC-0347,DEV-0037,CASE-0347,High,True,True,False
REC-0348,DEV-0178,CASE-0348,High,True,True,False
REC-0349,DEV-0188,CASE-0349,High,True,True,False
REC-0350,DEV-0217,CASE-0350,Low,False,False,False
REC-0351,DEV-0152,CASE-0351,Critical,True,True,True
REC-0352,DEV-0021,CASE-0352,Medium,True,False,False
REC-0353,DEV-0246,CASE-0353,High,True,True,False
REC-0354,DEV-0133,CASE-0354,Low,False,False,False
REC-0355,DEV-0027,CASE-0355,Medium,True,False,False
REC-0356,DEV-0190,CASE-0356,High,True,True,False
REC-0357,DEV-0094,CASE-0357,Medium,True,False,False
REC-0358,DEV-0226,CASE-0358,Medium,True,False,False
REC-0359,DEV-0214,CASE-0359,Medium,True,False,False
REC-0360,DEV-0161,CASE-0360,Medium,True,False,False
REC-0361,DEV-0039,CASE-0361,Low,False,False,False
REC-0362,DEV-0068,CASE-0362,Low,False,False,False
REC-0363,DEV-0128,CASE-0363,Critical,True,True,True
REC-0364,DEV-0031,CASE-0364,High,True,True,False
REC-0365,DEV-0052,CASE-0365,Low,False,False,False
REC-0366,DEV-0121,CASE-0366,Low,False,False,False
REC-0367,DEV-0070,CASE-0367,Medium,True,False,False
REC-0368,DEV-0109,CASE-0368,Low,False,False,False
REC-0369,DEV-0097,CASE-0369,Low,False,False,False
REC-0370,DEV-0228,CASE-0370,Medium,True,False,False
REC-0371,DEV-0238,CASE-0371,Medium,True,False,False
REC-0372,DEV-0041,CASE-0372,Critical,True,True,True
REC-0373,DEV-0146,CASE-0373,Low,False,False,False
REC-0374,DEV-0107,CASE-0374,Critical,True,True,True
REC-0375,DEV-0194,CASE-0375,Low,False,False,False
REC-0376,DEV-0152,CASE-0376,Low,False,False,False
REC-0377,DEV-0090,CASE-0377,Medium,True,False,False
REC-0378,DEV-0013,CASE-0378,Medium,True,False,False
REC-0379,DEV-0084,CASE-0379,Low,False,False,False
REC-0380,DEV-0018,CASE-0380,High,True,True,False
REC-0381,DEV-0192,CASE-0381,Low,False,False,False
REC-0382,DEV-0119,CASE-0382,Low,False,False,False
REC-0383,DEV-0082,CASE-0383,Medium,True,False,False
REC-0384,DEV-0228,CASE-0384,High,True,True,False
REC-0385,DEV-0137,CASE-0385,High,True,True,False
REC-0386,DEV-0085,CASE-0386,High,True,True,False
REC-0387,DEV-0226,CASE-0387,Medium,True,False,False
REC-0388,DEV-0110,CASE-0388,High,True,True,False
REC-0389,DEV-0042,CASE-0389,Medium,True,False,False
REC-0390,DEV-0003,CASE-0390,Low,False,False,False
REC-0391,DEV-0151,CASE-0391,Medium,True,False,False
REC-0392,DEV-0240,CASE-0392,High,True,True,False
REC-0393,DEV-0222,CASE-0393,Medium,True,False,False
REC-0394,DEV-0226,CASE-0394,Low,False,False,False
REC-0395,DEV-0121,CASE-0395,High,True,True,False
REC-0396,DEV-0009,CASE-0396,Low,False,False,False
REC-0397,DEV-0098,CASE-0397,Medium,True,False,False
REC-0398,DEV-0201,CASE-0398,Medium,True,False,False
REC-0399,DEV-0027,CASE-0399,Medium,True,False,False
REC-0400,DEV-0084,CASE-0400,Critical,True,True,True
REC-0401,DEV-0109,CASE-0401,High,True,True,False
REC-0402,DEV-0128,CASE-0402,Critical,True,True,True
REC-0403,DEV-0147,CASE-0403,Low,False,False,False
REC-0404,DEV-0238,CASE-0404,Medium,True,False,False
REC-0405,DEV-0021,CASE-0405,High,True,True,False
REC-0406,DEV-0019,CASE-0406,Low,False,False,False
REC-0407,DEV-0081,CASE-0407,Low,False,False,False
REC-0408,DEV-0211,CASE-0408,Medium,True,False,False
REC-0409,DEV-0065,CASE-0409,High,True,True,False
REC-0410,DEV-0072,CASE-0410,Medium,True,False,False
REC-0411,DEV-0004,CASE-0411,Low,False,False,False
REC-0412,DEV-0106,CASE-0412,High,True,True,False
REC-0413,DEV-0198,CASE-0413,Medium,True,False,False
REC-0414,DEV-0076,CASE-0414,Medium,True,False,False
REC-0415,DEV-0187,CASE-0415,Medium,True,False,False
REC-0416,DEV-0249,CASE-0416,Medium,True,False,False
REC-0417,DEV-0237,CASE-0417,Medium,True,False,False
REC-0418,DEV-0067,CASE-0418,Critical,True,True,True
REC-0419,DEV-0125,CASE-0419,High,True,True,False
REC-0420,DEV-0231,CASE-0420,Low,False,False,False
REC-0421,DEV-0002,CASE-0421,Medium,True,False,False
REC-0422,DEV-0053,CASE-0422,High,True,True,False
REC-0423,DEV-0029,CASE-0423,Low,False,False,False
REC-0424,DEV-0159,CASE-0424,High,True,True,False
REC-0425,DEV-0010,CASE-0425,High,True,True,False
REC-0426,DEV-0123,CASE-0426,Critical,True,True,True
REC-0427,DEV-0217,CASE-0427,Low,False,False,False
REC-0428,DEV-0094,CASE-0428,Medium,True,False,False
REC-0429,DEV-0179,CASE-0429,High,True,True,False
REC-0430,DEV-0180,CASE-0430,High,True,True,False
REC-0431,DEV-0117,CASE-0431,Critical,True,True,True
REC-0432,DEV-0059,CASE-0432,Medium,True,False,False
REC-0433,DEV-0234,CASE-0433,Critical,True,True,True
REC-0434,DEV-0032,CASE-0434,Medium,True,False,False
REC-0435,DEV-0100,CASE-0435,High,True,True,False
REC-0436,DEV-0159,CASE-0436,High,True,True,False
REC-0437,DEV-0132,CASE-0437,Medium,True,False,False
REC-0438,DEV-0009,CASE-0438,High,True,True,False
REC-0439,DEV-0106,CASE-0439,Critical,True,True,True
REC-0440,DEV-0044,CASE-0440,Medium,True,False,False
REC-0441,DEV-0068,CASE-0441,Medium,True,False,False
REC-0442,DEV-0106,CASE-0442,Medium,True,False,False
REC-0443,DEV-0049,CASE-0443,Low,False,False,False
REC-0444,DEV-0008,CASE-0444,Low,False,False,False
REC-0445,DEV-0188,CASE-0445,Medium,True,False,False
REC-0446,DEV-0022,CASE-0446,Medium,True,False,False
REC-0447,DEV-0046,CASE-0447,Low,False,False,False
REC-0448,DEV-0022,CASE-0448,Low,False,False,False
REC-0449,DEV-0186,CASE-0449,Medium,True,False,False
REC-0450,DEV-0139,CASE-0450,High,True,True,False
REC-0451,DEV-0247,CASE-0451,Low,False,False,False
REC-0452,DEV-0029,CASE-0452,High,True,True,False
REC-0453,DEV-0247,CASE-0453,Medium,True,False,False
REC-0454,DEV-0099,CASE-0454,Medium,True,False,False
REC-0455,DEV-0103,CASE-0455,Medium,True,False,False
REC-0456,DEV-0051,CASE-0456,Low,False,False,False
REC-0457,DEV-0212,CASE-0457,Medium,True,False,False
REC-0458,DEV-0232,CASE-0458,Medium,True,False,False
REC-0459,DEV-0004,CASE-0459,Medium,True,False,False
REC-0460,DEV-0142,CASE-0460,Medium,True,False,False
REC-0461,DEV-0219,CASE-0461,Low,False,False,False
REC-0462,DEV-0241,CASE-0462,Medium,True,False,False
REC-0463,DEV-0001,CASE-0463,Low,False,False,False
REC-0464,DEV-0240,CASE-0464,High,True,True,False
REC-0465,DEV-0053,CASE-0465,Critical,True,True,True
REC-0466,DEV-0108,CASE-0466,Critical,True,True,True
REC-0467,DEV-0118,CASE-0467,Medium,True,False,False
REC-0468,DEV-0086,CASE-0468,Medium,True,False,False
REC-0469,DEV-0095,CASE-0469,Medium,True,False,False
REC-0470,DEV-0238,CASE-0470,High,True,True,False
REC-0471,DEV-0107,CASE-0471,Critical,True,True,True
REC-0472,DEV-0200,CASE-0472,High,True,True,False
REC-0473,DEV-0242,CASE-0473,Low,False,False,False
REC-0474,DEV-0151,CASE-0474,Low,False,False,False
REC-0475,DEV-0068,CASE-0475,Medium,True,False,False
REC-0476,DEV-0006,CASE-0476,Critical,True,True,True
REC-0477,DEV-0236,CASE-0477,Medium,True,False,False
REC-0478,DEV-0207,CASE-0478,High,True,True,False
REC-0479,DEV-0038,CASE-0479,Medium,True,False,False
REC-0480,DEV-0186,CASE-0480,Medium,True,False,False
REC-0481,DEV-0153,CASE-0481,High,True,True,False
REC-0482,DEV-0077,CASE-0482,Medium,True,False,False
REC-0483,DEV-0240,CASE-0483,Medium,True,False,False
REC-0484,DEV-0223,CASE-0484,Medium,True,False,False
REC-0485,DEV-0156,CASE-0485,Medium,True,False,False
REC-0486,DEV-0204,CASE-0486,High,True,True,False
REC-0487,DEV-0166,CASE-0487,Medium,True,False,False
REC-0488,DEV-0122,CASE-0488,Low,False,False,False
REC-0489,DEV-0148,CASE-0489,Medium,True,False,False
REC-0490,DEV-0123,CASE-0490,Medium,True,False,False
REC-0491,DEV-0128,CASE-0491,Medium,True,False,False
REC-0492,DEV-0175,CASE-0492,Low,False,False,False
REC-0493,DEV-0177,CASE-0493,High,True,True,False
REC-0494,DEV-0122,CASE-0494,Low,False,False,False
REC-0495,DEV-0075,CASE-0495,Medium,True,False,False
REC-0496,DEV-0172,CASE-0496,Medium,True,False,False
REC-0497,DEV-0019,CASE-0497,Medium,True,False,False
REC-0498,DEV-0052,CASE-0498,High,True,True,False
REC-0499,DEV-0006,CASE-0499,Medium,True,False,False
REC-0500,DEV-0220,CASE-0500,Low,False,False,False
REC-0501,DEV-0067,CASE-0501,High,True,True,False
REC-0502,DEV-0203,CASE-0502,Medium,True,False,False
REC-0503,DEV-0178,CASE-0503,Medium,True,False,False
REC-0504,DEV-0011,CASE-0504,High,True,True,False
REC-0505,DEV-0130,CASE-0505,Medium,True,False,False
REC-0506,DEV-0104,CASE-0506,Medium,True,False,False
REC-0507,DEV-0127,CASE-0507,Low,False,False,False
REC-0508,DEV-0080,CASE-0508,High,True,True,False
REC-0509,DEV-0234,CASE-0509,High,True,True,False
REC-0510,DEV-0034,CASE-0510,Low,False,False,False
REC-0511,DEV-0211,CASE-0511,Medium,True,False,False
REC-0512,DEV-0030,CASE-0512,Medium,True,False,False
REC-0513,DEV-0035,CASE-0513,Low,False,False,False
REC-0514,DEV-0119,CASE-0514,Low,False,False,False
REC-0515,DEV-0048,CASE-0515,Medium,True,False,False
REC-0516,DEV-0015,CASE-0516,High,True,True,False
REC-0517,DEV-0223,CASE-0517,Low,False,False,False
REC-0518,DEV-0178,CASE-0518,Medium,True,False,False
REC-0519,DEV-0074,CASE-0519,Low,False,False,False
REC-0520,DEV-0239,CASE-0520,Critical,True,True,True
REC-0521,DEV-0078,CASE-0521,Low,False,False,False
REC-0522,DEV-0022,CASE-0522,Low,False,False,False
REC-0523,DEV-0182,CASE-0523,High,True,True,False
REC-0524,DEV-0075,CASE-0524,Low,False,False,False
REC-0525,DEV-0186,CASE-0525,High,True,True,False
REC-0526,DEV-0094,CASE-0526,Medium,True,False,False
REC-0527,DEV-0139,CASE-0527,Critical,True,True,True
REC-0528,DEV-0028,CASE-0528,Medium,True,False,False
REC-0529,DEV-0008,CASE-0529,Critical,True,True,True
REC-0530,DEV-0206,CASE-0530,Low,False,False,False
REC-0531,DEV-0150,CASE-0531,Medium,True,False,False
REC-0532,DEV-0131,CASE-0532,Critical,True,True,True
REC-0533,DEV-0227,CASE-0533,Low,False,False,False
REC-0534,DEV-0051,CASE-0534,Low,False,False,False
REC-0535,DEV-0100,CASE-0535,Medium,True,False,False
REC-0536,DEV-0190,CASE-0536,Critical,True,True,True
REC-0537,DEV-0014,CASE-0537,Medium,True,False,False
REC-0538,DEV-0068,CASE-0538,Low,False,False,False
REC-0539,DEV-0152,CASE-0539,Medium,True,False,False
REC-0540,DEV-0104,CASE-0540,High,True,True,False
REC-0541,DEV-0101,CASE-0541,Low,False,False,False
REC-0542,DEV-0242,CASE-0542,Low,False,False,False
REC-0543,DEV-0095,CASE-0543,High,True,True,False
REC-0544,DEV-0134,CASE-0544,High,True,True,False
REC-0545,DEV-0149,CASE-0545,Medium,True,False,False
REC-0546,DEV-0074,CASE-0546,Medium,True,False,False
REC-0547,DEV-0165,CASE-0547,Medium,True,False,False
REC-0548,DEV-0048,CASE-0548,Critical,True,True,True
REC-0549,DEV-0221,CASE-0549,Low,False,False,False
REC-0550,DEV-0002,CASE-0550,Low,False,False,False
REC-0551,DEV-0062,CASE-0551,High,True,True,False
REC-0552,DEV-0186,CASE-0552,Low,False,False,False
REC-0553,DEV-0220,CASE-0553,Medium,True,False,False
REC-0554,DEV-0049,CASE-0554,Medium,True,False,False
REC-0555,DEV-0209,CASE-0555,Critical,True,True,True
REC-0556,DEV-0126,CASE-0556,Medium,True,False,False
REC-0557,DEV-0061,CASE-0557,High,True,True,False
REC-0558,DEV-0117,CASE-0558,Medium,True,False,False
REC-0559,DEV-0248,CASE-0559,High,True,True,False
REC-0560,DEV-0126,CASE-0560,Medium,True,False,False
REC-0561,DEV-0242,CASE-0561,High,True,True,False
REC-0562,DEV-0107,CASE-0562,High,True,True,False
REC-0563,DEV-0055,CASE-0563,High,True,True,False
REC-0564,DEV-0181,CASE-0564,High,True,True,False
REC-0565,DEV-0211,CASE-0565,High,True,True,False
REC-0566,DEV-0229,CASE-0566,Critical,True,True,True
REC-0567,DEV-0078,CASE-0567,Medium,True,False,False
REC-0568,DEV-0138,CASE-0568,High,True,True,False
REC-0569,DEV-0061,CASE-0569,Low,False,False,False
REC-0570,DEV-0161,CASE-0570,High,True,True,False
REC-0571,DEV-0031,CASE-0571,High,True,True,False
REC-0572,DEV-0130,CASE-0572,High,True,True,False
REC-0573,DEV-0017,CASE-0573,Medium,True,False,False
REC-0574,DEV-0224,CASE-0574,High,True,True,False
REC-0575,DEV-0080,CASE-0575,Medium,True,False,False
REC-0576,DEV-0204,CASE-0576,High,True,True,False
REC-0577,DEV-0111,CASE-0577,High,True,True,False
REC-0578,DEV-0144,CASE-0578,Critical,True,True,True
REC-0579,DEV-0029,CASE-0579,Medium,True,False,False
REC-0580,DEV-0041,CASE-0580,Medium,True,False,False
REC-0581,DEV-0059,CASE-0581,Low,False,False,False
REC-0582,DEV-0010,CASE-0582,Low,False,False,False
REC-0583,DEV-0215,CASE-0583,Low,False,False,False
REC-0584,DEV-0003,CASE-0584,Medium,True,False,False
REC-0585,DEV-0054,CASE-0585,Medium,True,False,False
REC-0586,DEV-0077,CASE-0586,Critical,True,True,True
REC-0587,DEV-0090,CASE-0587,High,True,True,False
REC-0588,DEV-0116,CASE-0588,Medium,True,False,False
REC-0589,DEV-0070,CASE-0589,Medium,True,False,False
REC-0590,DEV-0065,CASE-0590,High,True,True,False
REC-0591,DEV-0175,CASE-0591,Low,False,False,False
REC-0592,DEV-0070,CASE-0592,Low,False,False,False
REC-0593,DEV-0121,CASE-0593,Medium,True,False,False
REC-0594,DEV-0071,CASE-0594,Medium,True,False,False
REC-0595,DEV-0175,CASE-0595,Medium,True,False,False
REC-0596,DEV-0045,CASE-0596,Critical,True,True,True
REC-0597,DEV-0172,CASE-0597,Medium,True,False,False
REC-0598,DEV-0150,CASE-0598,Medium,True,False,False
REC-0599,DEV-0112,CASE-0599,Low,False,False,False
REC-0600,DEV-0083,CASE-0600,High,True,True,False
REC-0601,DEV-0001,CASE-0601,Medium,True,False,False
REC-0602,DEV-0245,CASE-0602,Medium,True,False,False
REC-0603,DEV-0177,CASE-0603,High,True,True,False
REC-0604,DEV-0222,CASE-0604,High,True,True,False
REC-0605,DEV-0158,CASE-0605,Critical,True,True,True
REC-0606,DEV-0191,CASE-0606,Low,False,False,False
REC-0607,DEV-0158,CASE-0607,High,True,True,False
REC-0608,DEV-0236,CASE-0608,Medium,True,False,False
REC-0609,DEV-0162,CASE-0609,Low,False,False,False
REC-0610,DEV-0012,CASE-0610,Critical,True,True,True
REC-0611,DEV-0077,CASE-0611,Medium,True,False,False
REC-0612,DEV-0187,CASE-0612,High,True,True,False
REC-0613,DEV-0042,CASE-0613,Medium,True,False,False
REC-0614,DEV-0154,CASE-0614,Medium,True,False,False
REC-0615,DEV-0250,CASE-0615,High,True,True,False
REC-0616,DEV-0054,CASE-0616,Medium,True,False,False
REC-0617,DEV-0230,CASE-0617,Low,False,False,False
REC-0618,DEV-0062,CASE-0618,Low,False,False,False
REC-0619,DEV-0164,CASE-0619,High,True,True,False
REC-0620,DEV-0065,CASE-0620,Low,False,False,False
REC-0621,DEV-0056,CASE-0621,Low,False,False,False
REC-0622,DEV-0160,CASE-0622,Medium,True,False,False
REC-0623,DEV-0056,CASE-0623,Low,False,False,False
REC-0624,DEV-0015,CASE-0624,High,True,True,False
REC-0625,DEV-0132,CASE-0625,Critical,True,True,True
REC-0626,DEV-0122,CASE-0626,Medium,True,False,False
REC-0627,DEV-0204,CASE-0627,High,True,True,False
REC-0628,DEV-0237,CASE-0628,Critical,True,True,True
REC-0629,DEV-0164,CASE-0629,Critical,True,True,True
REC-0630,DEV-0044,CASE-0630,Medium,True,False,False
REC-0631,DEV-0236,CASE-0631,Critical,True,True,True
REC-0632,DEV-0245,CASE-0632,Medium,True,False,False
REC-0633,DEV-0112,CASE-0633,Low,False,False,False
REC-0634,DEV-0157,CASE-0634,Critical,True,True,True
REC-0635,DEV-0221,CASE-0635,Medium,True,False,False
REC-0636,DEV-0177,CASE-0636,High,True,True,False
REC-0637,DEV-0102,CASE-0637,High,True,True,False
REC-0638,DEV-0187,CASE-0638,Medium,True,False,False
REC-0639,DEV-0111,CASE-0639,Medium,True,False,False
REC-0640,DEV-0228,CASE-0640,Critical,True,True,True
REC-0641,DEV-0207,CASE-0641,Critical,True,True,True
REC-0642,DEV-0247,CASE-0642,Medium,True,False,False
REC-0643,DEV-0097,CASE-0643,Low,False,False,False
REC-0644,DEV-0116,CASE-0644,Low,False,False,False
REC-0645,DEV-0208,CASE-0645,Low,False,False,False
REC-0646,DEV-0125,CASE-0646,Low,False,False,False
REC-0647,DEV-0159,CASE-0647,Medium,True,False,False
REC-0648,DEV-0148,CASE-0648,Medium,True,False,False
REC-0649,DEV-0021,CASE-0649,High,True,True,False
REC-0650,DEV-0133,CASE-0650,Medium,True,False,False
REC-0651,DEV-0212,CASE-0651,High,True,True,False
REC-0652,DEV-0102,CASE-0652,Medium,True,False,False
REC-0653,DEV-0150,CASE-0653,Medium,True,False,False
REC-0654,DEV-0029,CASE-0654,Critical,True,True,True
REC-0655,DEV-0221,CASE-0655,Critical,True,True,True
REC-0656,DEV-0241,CASE-0656,Medium,True,False,False
REC-0657,DEV-0192,CASE-0657,Low,False,False,False
REC-0658,DEV-0211,CASE-0658,Low,False,False,False
REC-0659,DEV-0077,CASE-0659,Low,False,False,False
REC-0660,DEV-0130,CASE-0660,Critical,True,True,True
REC-0661,DEV-0205,CASE-0661,Medium,True,False,False
REC-0662,DEV-0081,CASE-0662,Medium,True,False,False
REC-0663,DEV-0078,CASE-0663,High,True,True,False
REC-0664,DEV-0069,CASE-0664,High,True,True,False
REC-0665,DEV-0092,CASE-0665,High,True,True,False
