recommendation_id,device_id,case_id,counter_consideration
REC-0001,DEV-0103,CASE-0001,Staging servers routinely generate burst traffic during nightly test runs.
REC-0002,DEV-0038,CASE-0002,Finance remote logins may reflect approved work-from-new-location policy.
REC-0003,DEV-0244,CASE-0003,Staging servers routinely generate burst traffic during nightly test runs.
REC-0004,DEV-0172,CASE-0004,Internal pen-test activity can mimic external scanning patterns.
REC-0005,DEV-0228,CASE-0005,Similar behavior has previously occurred during software updates.
REC-0006,DEV-0089,CASE-0006,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0007,DEV-0162,CASE-0007,This device model often triggers benign network scans during backup jobs.
REC-0008,DEV-0103,CASE-0008,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0009,DEV-0036,CASE-0009,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0010,DEV-0225,CASE-0010,Similar behavior has previously occurred during software updates.
REC-0011,DEV-0113,CASE-0011,Staging servers routinely generate burst traffic during nightly test runs.
REC-0012,DEV-0147,CASE-0012,Executive devices frequently show off-hours file activity before travel.
REC-0013,DEV-0097,CASE-0013,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0014,DEV-0220,CASE-0014,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0015,DEV-0233,CASE-0015,Executive devices frequently show off-hours file activity before travel.
REC-0016,DEV-0093,CASE-0016,This device model often triggers benign network scans during backup jobs.
REC-0017,DEV-0204,CASE-0017,Finance remote logins may reflect approved work-from-new-location policy.
REC-0018,DEV-0061,CASE-0018,Historical false positives were linked to scheduled QA stress tests.
REC-0019,DEV-0225,CASE-0019,Similar behavior has previously occurred during software updates.
REC-0020,DEV-0234,CASE-0020,Staging servers routinely generate burst traffic during nightly test runs.
REC-0021,DEV-0065,CASE-0021,Internal pen-test activity can mimic external scanning patterns.
REC-0022,DEV-0170,CASE-0022,Finance remote logins may reflect approved work-from-new-location policy.
REC-0023,DEV-0013,CASE-0023,Staging servers routinely generate burst traffic during nightly test runs.
REC-0024,DEV-0122,CASE-0024,Finance remote logins may reflect approved work-from-new-location policy.
REC-0025,DEV-0144,CASE-0025,Similar behavior has previously occurred during software updates.
REC-0026,DEV-0222,CASE-0026,Historical false positives were linked to scheduled QA stress tests.
REC-0027,DEV-0219,CASE-0027,Similar behavior has previously occurred during software updates.
REC-0028,DEV-0012,CASE-0028,Historical false positives were linked to scheduled QA stress tests.
REC-0029,DEV-0120,CASE-0029,Staging servers routinely generate burst traffic during nightly test runs.
REC-0030,DEV-0113,CASE-0030,This device model often triggers benign network scans during backup jobs.
REC-0031,DEV-0076,CASE-0031,Historical false positives were linked to scheduled QA stress tests.
REC-0032,DEV-0109,CASE-0032,Internal pen-test activity can mimic external scanning patterns.
REC-0033,DEV-0170,CASE-0033,Finance remote logins may reflect approved work-from-new-location policy.
REC-0034,DEV-0070,CASE-0034,This device model often triggers benign network scans during backup jobs.
REC-0035,DEV-0001,CASE-0035,Staging servers routinely generate burst traffic during nightly test runs.
REC-0036,DEV-0227,CASE-0036,Executive devices frequently show off-hours file activity before travel.
REC-0037,DEV-0122,CASE-0037,This device model often triggers benign network scans during backup jobs.
REC-0038,DEV-0046,CASE-0038,Historical false positives were linked to scheduled QA stress tests.
REC-0039,DEV-0011,CASE-0039,Internal pen-test activity can mimic external scanning patterns.
REC-0040,DEV-0181,CASE-0040,This device model often triggers benign network scans during backup jobs.
REC-0041,DEV-0154,CASE-0041,Internal pen-test activity can mimic external scanning patterns.
REC-0042,DEV-0103,CASE-0042,Internal pen-test activity can mimic external scanning patterns.
REC-0043,DEV-0029,CASE-0043,Staging servers routinely generate burst traffic during nightly test runs.
REC-0044,DEV-0183,CASE-0044,This device model often triggers benign network scans during backup jobs.
REC-0045,DEV-0021,CASE-0045,Staging servers routinely generate burst traffic during nightly test runs.
REC-0046,DEV-0121,CASE-0046,Executive devices frequently show off-hours file activity before travel.
REC-0047,DEV-0215,CASE-0047,Historical false positives were linked to scheduled QA stress tests.
REC-0048,DEV-0202,CASE-0048,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0049,DEV-0111,CASE-0049,Finance remote logins may reflect approved work-from-new-location policy.
REC-0050,DEV-0070,CASE-0050,This device model often triggers benign network scans during backup jobs.
REC-0051,DEV-0079,CASE-0051,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0052,DEV-0212,CASE-0052,Similar behavior has previously occurred during software updates.
REC-0053,DEV-0151,CASE-0053,Finance remote logins may reflect approved work-from-new-location policy.
REC-0054,DEV-0062,CASE-0054,This device model often triggers benign network scans during backup jobs.
REC-0055,DEV-0060,CASE-0055,Finance remote logins may reflect approved work-from-new-location policy.
REC-0056,DEV-0097,CASE-0056,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0057,DEV-0192,CASE-0057,Similar behavior has previously occurred during software updates.
REC-0058,DEV-0123,CASE-0058,Finance remote logins may reflect approved work-from-new-location policy.
REC-0059,DEV-0155,CASE-0059,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0060,DEV-0218,CASE-0060,Finance remote logins may reflect approved work-from-new-location policy.
REC-0061,DEV-0246,CASE-0061,Similar behavior has previously occurred during software updates.
REC-0062,DEV-0201,CASE-0062,Internal pen-test activity can mimic external scanning patterns.
REC-0063,DEV-0108,CASE-0063,Similar behavior has previously occurred during software updates.
REC-0064,DEV-0148,CASE-0064,Similar behavior has previously occurred during software updates.
REC-0065,DEV-0001,CASE-0065,Internal pen-test activity can mimic external scanning patterns.
REC-0066,DEV-0124,CASE-0066,Internal pen-test activity can mimic external scanning patterns.
REC-0067,DEV-0051,CASE-0067,Executive devices frequently show off-hours file activity before travel.
REC-0068,DEV-0161,CASE-0068,Staging servers routinely generate burst traffic during nightly test runs.
REC-0069,DEV-0166,CASE-0069,Staging servers routinely generate burst traffic during nightly test runs.
REC-0070,DEV-0009,CASE-0070,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0071,DEV-0100,CASE-0071,Similar behavior has previously occurred during software updates.
REC-0072,DEV-0237,CASE-0072,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0073,DEV-0011,CASE-0073,Staging servers routinely generate burst traffic during nightly test runs.
REC-0074,DEV-0109,CASE-0074,Finance remote logins may reflect approved work-from-new-location policy.
REC-0075,DEV-0222,CASE-0075,Similar behavior has previously occurred during software updates.
REC-0076,DEV-0200,CASE-0076,Internal pen-test activity can mimic external scanning patterns.
REC-0077,DEV-0137,CASE-0077,This device model often triggers benign network scans during backup jobs.
REC-0078,DEV-0098,CASE-0078,Similar behavior has previously occurred during software updates.
REC-0079,DEV-0108,CASE-0079,Internal pen-test activity can mimic external scanning patterns.
REC-0080,DEV-0245,CASE-0080,Similar behavior has previously occurred during software updates.
REC-0081,DEV-0146,CASE-0081,Staging servers routinely generate burst traffic during nightly test runs.
REC-0082,DEV-0077,CASE-0082,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0083,DEV-0047,CASE-0083,Historical false positives were linked to scheduled QA stress tests.
REC-0084,DEV-0142,CASE-0084,Finance remote logins may reflect approved work-from-new-location policy.
REC-0085,DEV-0226,CASE-0085,Internal pen-test activity can mimic external scanning patterns.
REC-0086,DEV-0067,CASE-0086,Internal pen-test activity can mimic external scanning patterns.
REC-0087,DEV-0155,CASE-0087,Internal pen-test activity can mimic external scanning patterns.
REC-0088,DEV-0039,CASE-0088,Staging servers routinely generate burst traffic during nightly test runs.
REC-0089,DEV-0156,CASE-0089,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0090,DEV-0014,CASE-0090,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0091,DEV-0226,CASE-0091,Finance remote logins may reflect approved work-from-new-location policy.
REC-0092,DEV-0092,CASE-0092,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0093,DEV-0015,CASE-0093,Internal pen-test activity can mimic external scanning patterns.
REC-0094,DEV-0148,CASE-0094,This device model often triggers benign network scans during backup jobs.
REC-0095,DEV-0205,CASE-0095,Internal pen-test activity can mimic external scanning patterns.
REC-0096,DEV-0145,CASE-0096,Executive devices frequently show off-hours file activity before travel.
REC-0097,DEV-0150,CASE-0097,Historical false positives were linked to scheduled QA stress tests.
REC-0098,DEV-0041,CASE-0098,This device model often triggers benign network scans during backup jobs.
REC-0099,DEV-0188,CASE-0099,This device model often triggers benign network scans during backup jobs.
REC-0100,DEV-0082,CASE-0100,Internal pen-test activity can mimic external scanning patterns.
REC-0101,DEV-0186,CASE-0101,Finance remote logins may reflect approved work-from-new-location policy.
REC-0102,DEV-0079,CASE-0102,Historical false positives were linked to scheduled QA stress tests.
REC-0103,DEV-0172,CASE-0103,Finance remote logins may reflect approved work-from-new-location policy.
REC-0104,DEV-0066,CASE-0104,Executive devices frequently show off-hours file activity before travel.
REC-0105,DEV-0133,CASE-0105,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0106,DEV-0148,CASE-0106,Finance remote logins may reflect approved work-from-new-location policy.
REC-0107,DEV-0242,CASE-0107,Similar behavior has previously occurred during software updates.
REC-0108,DEV-0234,CASE-0108,Finance remote logins may reflect approved work-from-new-location policy.
REC-0109,DEV-0114,CASE-0109,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0110,DEV-0220,CASE-0110,Similar behavior has previously occurred during software updates.
REC-0111,DEV-0198,CASE-0111,This device model often triggers benign network scans during backup jobs.
REC-0112,DEV-0060,CASE-0112,Executive devices frequently show off-hours file activity before travel.
REC-0113,DEV-0156,CASE-0113,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0114,DEV-0151,CASE-0114,Staging servers routinely generate burst traffic during nightly test runs.
REC-0115,DEV-0239,CASE-0115,Similar behavior has previously occurred during software updates.
REC-0116,DEV-0189,CASE-0116,Executive devices frequently show off-hours file activity before travel.
REC-0117,DEV-0009,CASE-0117,Finance remote logins may reflect approved work-from-new-location policy.
REC-0118,DEV-0147,CASE-0118,Staging servers routinely generate burst traffic during nightly test runs.
REC-0119,DEV-0201,CASE-0119,Finance remote logins may reflect approved work-from-new-location policy.
REC-0120,DEV-0218,CASE-0120,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0121,DEV-0130,CASE-0121,This device model often triggers benign network scans during backup jobs.
REC-0122,DEV-0098,CASE-0122,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0123,DEV-0212,CASE-0123,Internal pen-test activity can mimic external scanning patterns.
REC-0124,DEV-0204,CASE-0124,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0125,DEV-0210,CASE-0125,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0126,DEV-0206,CASE-0126,Finance remote logins may reflect approved work-from-new-location policy.
REC-0127,DEV-0033,CASE-0127,Similar behavior has previously occurred during software updates.
REC-0128,DEV-0079,CASE-0128,This device model often triggers benign network scans during backup jobs.
REC-0129,DEV-0243,CASE-0129,Executive devices frequently show off-hours file activity before travel.
REC-0130,DEV-0080,CASE-0130,This device model often triggers benign network scans during backup jobs.
REC-0131,DEV-0062,CASE-0131,Internal pen-test activity can mimic external scanning patterns.
REC-0132,DEV-0215,CASE-0132,Executive devices frequently show off-hours file activity before travel.
REC-0133,DEV-0196,CASE-0133,Historical false positives were linked to scheduled QA stress tests.
REC-0134,DEV-0129,CASE-0134,Similar behavior has previously occurred during software updates.
REC-0135,DEV-0160,CASE-0135,Internal pen-test activity can mimic external scanning patterns.
REC-0136,DEV-0180,CASE-0136,Similar behavior has previously occurred during software updates.
REC-0137,DEV-0195,CASE-0137,Executive devices frequently show off-hours file activity before travel.
REC-0138,DEV-0160,CASE-0138,Finance remote logins may reflect approved work-from-new-location policy.
REC-0139,DEV-0032,CASE-0139,Staging servers routinely generate burst traffic during nightly test runs.
REC-0140,DEV-0235,CASE-0140,Finance remote logins may reflect approved work-from-new-location policy.
REC-0141,DEV-0189,CASE-0141,Historical false positives were linked to scheduled QA stress tests.
REC-0142,DEV-0003,CASE-0142,Executive devices frequently show off-hours file activity before travel.
REC-0143,DEV-0143,CASE-0143,Historical false positives were linked to scheduled QA stress tests.
REC-0144,DEV-0024,CASE-0144,Executive devices frequently show off-hours file activity before travel.
REC-0145,DEV-0055,CASE-0145,Historical false positives were linked to scheduled QA stress tests.
REC-0146,DEV-0100,CASE-0146,Executive devices frequently show off-hours file activity before travel.
REC-0147,DEV-0145,CASE-0147,Similar behavior has previously occurred during software updates.
REC-0148,DEV-0081,CASE-0148,Internal pen-test activity can mimic external scanning patterns.
REC-0149,DEV-0126,CASE-0149,Historical false positives were linked to scheduled QA stress tests.
REC-0150,DEV-0086,CASE-0150,Historical false positives were linked to scheduled QA stress tests.
REC-0151,DEV-0021,CASE-0151,Internal pen-test activity can mimic external scanning patterns.
REC-0152,DEV-0057,CASE-0152,Executive devices frequently show off-hours file activity before travel.
REC-0153,DEV-0127,CASE-0153,This device model often triggers benign network scans during backup jobs.
REC-0154,DEV-0074,CASE-0154,This device model often triggers benign network scans during backup jobs.
REC-0155,DEV-0049,CASE-0155,Similar behavior has previously occurred during software updates.
REC-0156,DEV-0058,CASE-0156,Finance remote logins may reflect approved work-from-new-location policy.
REC-0157,DEV-0147,CASE-0157,Finance remote logins may reflect approved work-from-new-location policy.
REC-0158,DEV-0060,CASE-0158,Similar behavior has previously occurred during software updates.
REC-0159,DEV-0107,CASE-0159,Finance remote logins may reflect approved work-from-new-location policy.
REC-0160,DEV-0004,CASE-0160,Internal pen-test activity can mimic external scanning patterns.
REC-0161,DEV-0116,CASE-0161,Staging servers routinely generate burst traffic during nightly test runs.
REC-0162,DEV-0156,CASE-0162,Internal pen-test activity can mimic external scanning patterns.
REC-0163,DEV-0033,CASE-0163,Staging servers routinely generate burst traffic during nightly test runs.
REC-0164,DEV-0047,CASE-0164,Staging servers routinely generate burst traffic during nightly test runs.
REC-0165,DEV-0219,CASE-0165,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0166,DEV-0176,CASE-0166,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0167,DEV-0244,CASE-0167,Staging servers routinely generate burst traffic during nightly test runs.
REC-0168,DEV-0196,CASE-0168,Executive devices frequently show off-hours file activity before travel.
REC-0169,DEV-0064,CASE-0169,This device model often triggers benign network scans during backup jobs.
REC-0170,DEV-0045,CASE-0170,Similar behavior has previously occurred during software updates.
REC-0171,DEV-0179,CASE-0171,Internal pen-test activity can mimic external scanning patterns.
REC-0172,DEV-0061,CASE-0172,Executive devices frequently show off-hours file activity before travel.
REC-0173,DEV-0189,CASE-0173,Staging servers routinely generate burst traffic during nightly test runs.
REC-0174,DEV-0088,CASE-0174,Similar behavior has previously occurred during software updates.
REC-0175,DEV-0189,CASE-0175,This device model often triggers benign network scans during backup jobs.
REC-0176,DEV-0068,CASE-0176,Finance remote logins may reflect approved work-from-new-location policy.
REC-0177,DEV-0142,CASE-0177,Executive devices frequently show off-hours file activity before travel.
REC-0178,DEV-0163,CASE-0178,This device model often triggers benign network scans during backup jobs.
REC-0179,DEV-0099,CASE-0179,Similar behavior has previously occurred during software updates.
REC-0180,DEV-0118,CASE-0180,Historical false positives were linked to scheduled QA stress tests.
REC-0181,DEV-0220,CASE-0181,Executive devices frequently show off-hours file activity before travel.
REC-0182,DEV-0158,CASE-0182,Internal pen-test activity can mimic external scanning patterns.
REC-0183,DEV-0170,CASE-0183,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0184,DEV-0233,CASE-0184,Similar behavior has previously occurred during software updates.
REC-0185,DEV-0243,CASE-0185,Internal pen-test activity can mimic external scanning patterns.
REC-0186,DEV-0028,CASE-0186,Similar behavior has previously occurred during software updates.
REC-0187,DEV-0209,CASE-0187,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0188,DEV-0216,CASE-0188,This device model often triggers benign network scans during backup jobs.
REC-0189,DEV-0048,CASE-0189,Internal pen-test activity can mimic external scanning patterns.
REC-0190,DEV-0093,CASE-0190,Internal pen-test activity can mimic external scanning patterns.
REC-0191,DEV-0026,CASE-0191,Similar behavior has previously occurred during software updates.
REC-0192,DEV-0191,CASE-0192,Executive devices frequently show off-hours file activity before travel.
REC-0193,DEV-0061,CASE-0193,Staging servers routinely generate burst traffic during nightly test runs.
REC-0194,DEV-0215,CASE-0194,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0195,DEV-0081,CASE-0195,Executive devices frequently show off-hours file activity before travel.
REC-0196,DEV-0215,CASE-0196,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0197,DEV-0008,CASE-0197,Similar behavior has previously occurred during software updates.
REC-0198,DEV-0083,CASE-0198,This device model often triggers benign network scans during backup jobs.
REC-0199,DEV-0235,CASE-0199,Executive devices frequently show off-hours file activity before travel.
REC-0200,DEV-0103,CASE-0200,Historical false positives were linked to scheduled QA stress tests.
REC-0201,DEV-0137,CASE-0201,Staging servers routinely generate burst traffic during nightly test runs.
REC-0202,DEV-0236,CASE-0202,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0203,DEV-0002,CASE-0203,Finance remote logins may reflect approved work-from-new-location policy.
REC-0204,DEV-0084,CASE-0204,This device model often triggers benign network scans during backup jobs.
REC-0205,DEV-0033,CASE-0205,This device model often triggers benign network scans during backup jobs.
REC-0206,DEV-0214,CASE-0206,Finance remote logins may reflect approved work-from-new-location policy.
REC-0207,DEV-0096,CASE-0207,Finance remote logins may reflect approved work-from-new-location policy.
REC-0208,DEV-0200,CASE-0208,Executive devices frequently show off-hours file activity before travel.
REC-0209,DEV-0084,CASE-0209,Similar behavior has previously occurred during software updates.
REC-0210,DEV-0141,CASE-0210,Similar behavior has previously occurred during software updates.
REC-0211,DEV-0068,CASE-0211,Historical false positives were linked to scheduled QA stress tests.
REC-0212,DEV-0004,CASE-0212,Staging servers routinely generate burst traffic during nightly test runs.
REC-0213,DEV-0171,CASE-0213,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0214,DEV-0055,CASE-0214,Similar behavior has previously occurred during software updates.
REC-0215,DEV-0160,CASE-0215,Internal pen-test activity can mimic external scanning patterns.
REC-0216,DEV-0091,CASE-0216,Historical false positives were linked to scheduled QA stress tests.
REC-0217,DEV-0221,CASE-0217,Historical false positives were linked to scheduled QA stress tests.
REC-0218,DEV-0106,CASE-0218,This device model often triggers benign network scans during backup jobs.
REC-0219,DEV-0027,CASE-0219,This device model often triggers benign network scans during backup jobs.
REC-0220,DEV-0169,CASE-0220,Staging servers routinely generate burst traffic during nightly test runs.
REC-0221,DEV-0243,CASE-0221,Executive devices frequently show off-hours file activity before travel.
REC-0222,DEV-0016,CASE-0222,Internal pen-test activity can mimic external scanning patterns.
REC-0223,DEV-0048,CASE-0223,Finance remote logins may reflect approved work-from-new-location policy.
REC-0224,DEV-0122,CASE-0224,Finance remote logins may reflect approved work-from-new-location policy.
REC-0225,DEV-0192,CASE-0225,Staging servers routinely generate burst traffic during nightly test runs.
REC-0226,DEV-0216,CASE-0226,Historical false positives were linked to scheduled QA stress tests.
REC-0227,DEV-0202,CASE-0227,Staging servers routinely generate burst traffic during nightly test runs.
REC-0228,DEV-0210,CASE-0228,Finance remote logins may reflect approved work-from-new-location policy.
REC-0229,DEV-0062,CASE-0229,Historical false positives were linked to scheduled QA stress tests.
REC-0230,DEV-0221,CASE-0230,Finance remote logins may reflect approved work-from-new-location policy.
REC-0231,DEV-0082,CASE-0231,Executive devices frequently show off-hours file activity before travel.
REC-0232,DEV-0183,CASE-0232,This device model often triggers benign network scans during backup jobs.
REC-0233,DEV-0073,CASE-0233,This device model often triggers benign network scans during backup jobs.
REC-0234,DEV-0149,CASE-0234,Historical false positives were linked to scheduled QA stress tests.
REC-0235,DEV-0106,CASE-0235,Staging servers routinely generate burst traffic during nightly test runs.
REC-0236,DEV-0154,CASE-0236,Finance remote logins may reflect approved work-from-new-location policy.
REC-0237,DEV-0176,CASE-0237,Similar behavior has previously occurred during software updates.
REC-0238,DEV-0131,CASE-0238,Executive devices frequently show off-hours file activity before travel.
REC-0239,DEV-0037,CASE-0239,Finance remote logins may reflect approved work-from-new-location policy.
REC-0240,DEV-0098,CASE-0240,Patch deployment windows correlate with elevated endpoint telemetry noise.
REC-0241,DEV-0102,CASE-0241,Similar behavior has previously occurred during software updates.
REC-0242,DEV-0056,CASE-0242,Executive devices frequently show off-hours file activity before travel.
REC-0243,DEV-0039,CASE-0243,Executive devices frequently show off-hours file activity before travel.
REC-0244,DEV-0057,CASE-0244,This device model often triggers benign network scans during backup jobs.
REC-0245,DEV-0108,CASE-0245,Historical false positives were linked to scheduled QA stress tests.
REC-0246,DEV-0011,CASE-0246,Finance remote logins may reflect approved work-from-new-location policy.
REC-0247,DEV-0175,CASE-0247,Executive devices frequently show off-hours file activity before travel.
REC-0248,DEV-0195,CASE-0248,Finance remote logins may reflect approved work-from-new-location policy.
REC-0249,DEV-0156,CASE-0249,Executive devices frequently show off-hours file activity before travel.
