recommendation_id,device_id,case_id,outcome_type,outcome_description,resolved_at
REC-0001,DEV-0103,CASE-0001,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-25
REC-0002,DEV-0038,CASE-0002,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-23
REC-0003,DEV-0244,CASE-0003,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-23
REC-0004,DEV-0172,CASE-0004,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-18
REC-0005,DEV-0228,CASE-0005,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-13
REC-0006,DEV-0089,CASE-0006,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-28
REC-0007,DEV-0162,CASE-0007,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-30
REC-0008,DEV-0103,CASE-0008,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-29
REC-0009,DEV-0036,CASE-0009,,,
REC-0010,DEV-0225,CASE-0010,False Positive,Benign activity misclassified; no actual security incident.,2026-06-09
REC-0011,DEV-0113,CASE-0011,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-27
REC-0012,DEV-0147,CASE-0012,False Positive,Benign activity misclassified; no actual security incident.,2026-05-30
REC-0013,DEV-0097,CASE-0013,False Positive,Benign activity misclassified; no actual security incident.,2026-05-31
REC-0014,DEV-0220,CASE-0014,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-16
REC-0015,DEV-0233,CASE-0015,,,
REC-0016,DEV-0093,CASE-0016,,,
REC-0017,DEV-0204,CASE-0017,False Positive,Benign activity misclassified; no actual security incident.,2026-05-23
REC-0018,DEV-0061,CASE-0018,,,
REC-0019,DEV-0225,CASE-0019,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-14
REC-0020,DEV-0234,CASE-0020,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-21
REC-0021,DEV-0065,CASE-0021,False Positive,Benign activity misclassified; no actual security incident.,2026-06-16
REC-0022,DEV-0170,CASE-0022,False Positive,Benign activity misclassified; no actual security incident.,2026-06-11
REC-0023,DEV-0013,CASE-0023,,,
REC-0024,DEV-0122,CASE-0024,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-05-23
REC-0025,DEV-0144,CASE-0025,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-09
REC-0026,DEV-0222,CASE-0026,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-19
REC-0027,DEV-0219,CASE-0027,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-02
REC-0028,DEV-0012,CASE-0028,False Positive,Benign activity misclassified; no actual security incident.,2026-06-11
REC-0029,DEV-0120,CASE-0029,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-03
REC-0030,DEV-0113,CASE-0030,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-15
REC-0031,DEV-0076,CASE-0031,,,
REC-0032,DEV-0109,CASE-0032,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-15
REC-0033,DEV-0170,CASE-0033,False Positive,Benign activity misclassified; no actual security incident.,2026-06-19
REC-0034,DEV-0070,CASE-0034,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-09
REC-0035,DEV-0001,CASE-0035,False Positive,Benign activity misclassified; no actual security incident.,2026-05-25
REC-0036,DEV-0227,CASE-0036,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-07
REC-0037,DEV-0122,CASE-0037,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-04
REC-0038,DEV-0046,CASE-0038,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-08
REC-0039,DEV-0011,CASE-0039,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-16
REC-0040,DEV-0181,CASE-0040,,,
REC-0041,DEV-0154,CASE-0041,,,
REC-0042,DEV-0103,CASE-0042,False Positive,Benign activity misclassified; no actual security incident.,2026-05-27
REC-0043,DEV-0029,CASE-0043,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-30
REC-0044,DEV-0183,CASE-0044,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-26
REC-0045,DEV-0021,CASE-0045,,,
REC-0046,DEV-0121,CASE-0046,,,
REC-0047,DEV-0215,CASE-0047,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-05
REC-0048,DEV-0202,CASE-0048,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-17
REC-0049,DEV-0111,CASE-0049,False Positive,Benign activity misclassified; no actual security incident.,2026-05-29
REC-0050,DEV-0070,CASE-0050,,,
REC-0051,DEV-0079,CASE-0051,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-12
REC-0052,DEV-0212,CASE-0052,,,
REC-0053,DEV-0151,CASE-0053,,,
REC-0054,DEV-0062,CASE-0054,False Positive,Benign activity misclassified; no actual security incident.,2026-06-12
REC-0055,DEV-0060,CASE-0055,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-08
REC-0056,DEV-0097,CASE-0056,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-05-24
REC-0057,DEV-0192,CASE-0057,False Positive,Benign activity misclassified; no actual security incident.,2026-06-14
REC-0058,DEV-0123,CASE-0058,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-17
REC-0059,DEV-0155,CASE-0059,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-11
REC-0060,DEV-0218,CASE-0060,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-07
REC-0061,DEV-0246,CASE-0061,,,
REC-0062,DEV-0201,CASE-0062,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-24
REC-0063,DEV-0108,CASE-0063,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-16
REC-0064,DEV-0148,CASE-0064,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-07
REC-0065,DEV-0001,CASE-0065,,,
REC-0066,DEV-0124,CASE-0066,,,
REC-0067,DEV-0051,CASE-0067,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-20
REC-0068,DEV-0161,CASE-0068,False Positive,Benign activity misclassified; no actual security incident.,2026-06-16
REC-0069,DEV-0166,CASE-0069,,,
REC-0070,DEV-0009,CASE-0070,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-11
REC-0071,DEV-0100,CASE-0071,,,
REC-0072,DEV-0237,CASE-0072,,,
REC-0073,DEV-0011,CASE-0073,False Positive,Benign activity misclassified; no actual security incident.,2026-06-19
REC-0074,DEV-0109,CASE-0074,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-07
REC-0075,DEV-0222,CASE-0075,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-04
REC-0076,DEV-0200,CASE-0076,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-23
REC-0077,DEV-0137,CASE-0077,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-04
REC-0078,DEV-0098,CASE-0078,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-05-30
REC-0079,DEV-0108,CASE-0079,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-08
REC-0080,DEV-0245,CASE-0080,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-04
REC-0081,DEV-0146,CASE-0081,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-28
REC-0082,DEV-0077,CASE-0082,False Positive,Benign activity misclassified; no actual security incident.,2026-06-15
REC-0083,DEV-0047,CASE-0083,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-24
REC-0084,DEV-0142,CASE-0084,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-01
REC-0085,DEV-0226,CASE-0085,,,
REC-0086,DEV-0067,CASE-0086,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-31
REC-0087,DEV-0155,CASE-0087,,,
REC-0088,DEV-0039,CASE-0088,,,
REC-0089,DEV-0156,CASE-0089,,,
REC-0090,DEV-0014,CASE-0090,,,
REC-0091,DEV-0226,CASE-0091,,,
REC-0092,DEV-0092,CASE-0092,,,
REC-0093,DEV-0015,CASE-0093,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-11
REC-0094,DEV-0148,CASE-0094,,,
REC-0095,DEV-0205,CASE-0095,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-13
REC-0096,DEV-0145,CASE-0096,False Positive,Benign activity misclassified; no actual security incident.,2026-05-29
REC-0097,DEV-0150,CASE-0097,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-30
REC-0098,DEV-0041,CASE-0098,,,
REC-0099,DEV-0188,CASE-0099,,,
REC-0100,DEV-0082,CASE-0100,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-10
REC-0101,DEV-0186,CASE-0101,False Positive,Benign activity misclassified; no actual security incident.,2026-05-29
REC-0102,DEV-0079,CASE-0102,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-14
REC-0103,DEV-0172,CASE-0103,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-03
REC-0104,DEV-0066,CASE-0104,,,
REC-0105,DEV-0133,CASE-0105,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-03
REC-0106,DEV-0148,CASE-0106,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-05
REC-0107,DEV-0242,CASE-0107,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-18
REC-0108,DEV-0234,CASE-0108,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-11
REC-0109,DEV-0114,CASE-0109,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-18
REC-0110,DEV-0220,CASE-0110,,,
REC-0111,DEV-0198,CASE-0111,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-21
REC-0112,DEV-0060,CASE-0112,,,
REC-0113,DEV-0156,CASE-0113,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-11
REC-0114,DEV-0151,CASE-0114,,,
REC-0115,DEV-0239,CASE-0115,False Positive,Benign activity misclassified; no actual security incident.,2026-06-03
REC-0116,DEV-0189,CASE-0116,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-30
REC-0117,DEV-0009,CASE-0117,,,
REC-0118,DEV-0147,CASE-0118,,,
REC-0119,DEV-0201,CASE-0119,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-05-28
REC-0120,DEV-0218,CASE-0120,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-17
REC-0121,DEV-0130,CASE-0121,,,
REC-0122,DEV-0098,CASE-0122,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-05-26
REC-0123,DEV-0212,CASE-0123,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-30
REC-0124,DEV-0204,CASE-0124,,,
REC-0125,DEV-0210,CASE-0125,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-04
REC-0126,DEV-0206,CASE-0126,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-16
REC-0127,DEV-0033,CASE-0127,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-31
REC-0128,DEV-0079,CASE-0128,False Positive,Benign activity misclassified; no actual security incident.,2026-05-23
REC-0129,DEV-0243,CASE-0129,,,
REC-0130,DEV-0080,CASE-0130,,,
REC-0131,DEV-0062,CASE-0131,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-12
REC-0132,DEV-0215,CASE-0132,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-05-26
REC-0133,DEV-0196,CASE-0133,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-03
REC-0134,DEV-0129,CASE-0134,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-06
REC-0135,DEV-0160,CASE-0135,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-18
REC-0136,DEV-0180,CASE-0136,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-09
REC-0137,DEV-0195,CASE-0137,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-15
REC-0138,DEV-0160,CASE-0138,,,
REC-0139,DEV-0032,CASE-0139,,,
REC-0140,DEV-0235,CASE-0140,False Positive,Benign activity misclassified; no actual security incident.,2026-06-20
REC-0141,DEV-0189,CASE-0141,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-03
REC-0142,DEV-0003,CASE-0142,False Positive,Benign activity misclassified; no actual security incident.,2026-06-13
REC-0143,DEV-0143,CASE-0143,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-05
REC-0144,DEV-0024,CASE-0144,,,
REC-0145,DEV-0055,CASE-0145,,,
REC-0146,DEV-0100,CASE-0146,,,
REC-0147,DEV-0145,CASE-0147,False Positive,Benign activity misclassified; no actual security incident.,2026-06-05
REC-0148,DEV-0081,CASE-0148,False Positive,Benign activity misclassified; no actual security incident.,2026-06-09
REC-0149,DEV-0126,CASE-0149,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-09
REC-0150,DEV-0086,CASE-0150,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-16
REC-0151,DEV-0021,CASE-0151,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-31
REC-0152,DEV-0057,CASE-0152,,,
REC-0153,DEV-0127,CASE-0153,False Positive,Benign activity misclassified; no actual security incident.,2026-06-01
REC-0154,DEV-0074,CASE-0154,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-19
REC-0155,DEV-0049,CASE-0155,,,
REC-0156,DEV-0058,CASE-0156,False Positive,Benign activity misclassified; no actual security incident.,2026-06-17
REC-0157,DEV-0147,CASE-0157,,,
REC-0158,DEV-0060,CASE-0158,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-10
REC-0159,DEV-0107,CASE-0159,,,
REC-0160,DEV-0004,CASE-0160,,,
REC-0161,DEV-0116,CASE-0161,,,
REC-0162,DEV-0156,CASE-0162,False Positive,Benign activity misclassified; no actual security incident.,2026-06-03
REC-0163,DEV-0033,CASE-0163,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-19
REC-0164,DEV-0047,CASE-0164,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-07
REC-0165,DEV-0219,CASE-0165,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-05
REC-0166,DEV-0176,CASE-0166,False Positive,Benign activity misclassified; no actual security incident.,2026-06-06
REC-0167,DEV-0244,CASE-0167,False Positive,Benign activity misclassified; no actual security incident.,2026-05-24
REC-0168,DEV-0196,CASE-0168,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-10
REC-0169,DEV-0064,CASE-0169,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-13
REC-0170,DEV-0045,CASE-0170,,,
REC-0171,DEV-0179,CASE-0171,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-07
REC-0172,DEV-0061,CASE-0172,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-24
REC-0173,DEV-0189,CASE-0173,False Positive,Benign activity misclassified; no actual security incident.,2026-06-18
REC-0174,DEV-0088,CASE-0174,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-16
REC-0175,DEV-0189,CASE-0175,,,
REC-0176,DEV-0068,CASE-0176,,,
REC-0177,DEV-0142,CASE-0177,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-25
REC-0178,DEV-0163,CASE-0178,False Positive,Benign activity misclassified; no actual security incident.,2026-06-09
REC-0179,DEV-0099,CASE-0179,False Positive,Benign activity misclassified; no actual security incident.,2026-06-03
REC-0180,DEV-0118,CASE-0180,False Positive,Benign activity misclassified; no actual security incident.,2026-06-21
REC-0181,DEV-0220,CASE-0181,False Positive,Benign activity misclassified; no actual security incident.,2026-05-31
REC-0182,DEV-0158,CASE-0182,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-26
REC-0183,DEV-0170,CASE-0183,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-10
REC-0184,DEV-0233,CASE-0184,,,
REC-0185,DEV-0243,CASE-0185,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-02
REC-0186,DEV-0028,CASE-0186,False Positive,Benign activity misclassified; no actual security incident.,2026-06-18
REC-0187,DEV-0209,CASE-0187,,,
REC-0188,DEV-0216,CASE-0188,False Positive,Benign activity misclassified; no actual security incident.,2026-05-30
REC-0189,DEV-0048,CASE-0189,,,
REC-0190,DEV-0093,CASE-0190,,,
REC-0191,DEV-0026,CASE-0191,,,
REC-0192,DEV-0191,CASE-0192,,,
REC-0193,DEV-0061,CASE-0193,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-05-31
REC-0194,DEV-0215,CASE-0194,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-30
REC-0195,DEV-0081,CASE-0195,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-11
REC-0196,DEV-0215,CASE-0196,,,
REC-0197,DEV-0008,CASE-0197,,,
REC-0198,DEV-0083,CASE-0198,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-14
REC-0199,DEV-0235,CASE-0199,,,
REC-0200,DEV-0103,CASE-0200,,,
REC-0201,DEV-0137,CASE-0201,,,
REC-0202,DEV-0236,CASE-0202,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-12
REC-0203,DEV-0002,CASE-0203,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-08
REC-0204,DEV-0084,CASE-0204,,,
REC-0205,DEV-0033,CASE-0205,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-24
REC-0206,DEV-0214,CASE-0206,,,
REC-0207,DEV-0096,CASE-0207,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-13
REC-0208,DEV-0200,CASE-0208,,,
REC-0209,DEV-0084,CASE-0209,False Positive,Benign activity misclassified; no actual security incident.,2026-06-11
REC-0210,DEV-0141,CASE-0210,,,
REC-0211,DEV-0068,CASE-0211,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-20
REC-0212,DEV-0004,CASE-0212,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-28
REC-0213,DEV-0171,CASE-0213,,,
REC-0214,DEV-0055,CASE-0214,,,
REC-0215,DEV-0160,CASE-0215,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-30
REC-0216,DEV-0091,CASE-0216,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-05
REC-0217,DEV-0221,CASE-0217,,,
REC-0218,DEV-0106,CASE-0218,,,
REC-0219,DEV-0027,CASE-0219,False Positive,Benign activity misclassified; no actual security incident.,2026-06-03
REC-0220,DEV-0169,CASE-0220,,,
REC-0221,DEV-0243,CASE-0221,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-31
REC-0222,DEV-0016,CASE-0222,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-14
REC-0223,DEV-0048,CASE-0223,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-26
REC-0224,DEV-0122,CASE-0224,,,
REC-0225,DEV-0192,CASE-0225,,,
REC-0226,DEV-0216,CASE-0226,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-15
REC-0227,DEV-0202,CASE-0227,,,
REC-0228,DEV-0210,CASE-0228,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-16
REC-0229,DEV-0062,CASE-0229,False Positive,Benign activity misclassified; no actual security incident.,2026-06-13
REC-0230,DEV-0221,CASE-0230,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-13
REC-0231,DEV-0082,CASE-0231,False Positive,Benign activity misclassified; no actual security incident.,2026-05-23
REC-0232,DEV-0183,CASE-0232,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-23
REC-0233,DEV-0073,CASE-0233,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-02
REC-0234,DEV-0149,CASE-0234,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-09
REC-0235,DEV-0106,CASE-0235,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-05-31
REC-0236,DEV-0154,CASE-0236,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-21
REC-0237,DEV-0176,CASE-0237,False Positive,Benign activity misclassified; no actual security incident.,2026-06-13
REC-0238,DEV-0131,CASE-0238,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-15
REC-0239,DEV-0037,CASE-0239,False Positive,Benign activity misclassified; no actual security incident.,2026-06-11
