recommendation_id,device_id,case_id,outcome_type,outcome_description,resolved_at
REC-0240,DEV-0098,CASE-0240,False Positive,Benign activity misclassified; no actual security incident.,2026-06-01
REC-0241,DEV-0102,CASE-0241,False Positive,Benign activity misclassified; no actual security incident.,2026-06-10
REC-0242,DEV-0056,CASE-0242,,,
REC-0243,DEV-0039,CASE-0243,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-05-26
REC-0244,DEV-0057,CASE-0244,False Positive,Benign activity misclassified; no actual security incident.,2026-05-24
REC-0245,DEV-0108,CASE-0245,,,
REC-0246,DEV-0011,CASE-0246,False Positive,Benign activity misclassified; no actual security incident.,2026-06-19
REC-0247,DEV-0175,CASE-0247,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-02
REC-0248,DEV-0195,CASE-0248,False Positive,Benign activity misclassified; no actual security incident.,2026-06-01
REC-0249,DEV-0156,CASE-0249,,,
REC-0250,DEV-0015,CASE-0250,,,
REC-0251,DEV-0049,CASE-0251,,,
REC-0252,DEV-0116,CASE-0252,False Positive,Benign activity misclassified; no actual security incident.,2026-06-06
REC-0253,DEV-0101,CASE-0253,False Positive,Benign activity misclassified; no actual security incident.,2026-05-29
REC-0254,DEV-0215,CASE-0254,,,
REC-0255,DEV-0130,CASE-0255,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-08
REC-0256,DEV-0166,CASE-0256,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-17
REC-0257,DEV-0028,CASE-0257,False Positive,Benign activity misclassified; no actual security incident.,2026-06-01
REC-0258,DEV-0104,CASE-0258,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-24
REC-0259,DEV-0095,CASE-0259,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-11
REC-0260,DEV-0183,CASE-0260,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-31
REC-0261,DEV-0153,CASE-0261,,,
REC-0262,DEV-0153,CASE-0262,False Positive,Benign activity misclassified; no actual security incident.,2026-06-17
REC-0263,DEV-0202,CASE-0263,False Positive,Benign activity misclassified; no actual security incident.,2026-05-27
REC-0264,DEV-0119,CASE-0264,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-14
REC-0265,DEV-0043,CASE-0265,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-09
REC-0266,DEV-0179,CASE-0266,,,
REC-0267,DEV-0042,CASE-0267,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-31
REC-0268,DEV-0126,CASE-0268,,,
REC-0269,DEV-0101,CASE-0269,,,
REC-0270,DEV-0128,CASE-0270,,,
REC-0271,DEV-0018,CASE-0271,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-17
REC-0272,DEV-0076,CASE-0272,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-30
REC-0273,DEV-0211,CASE-0273,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-07
REC-0274,DEV-0096,CASE-0274,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-08
REC-0275,DEV-0031,CASE-0275,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-24
REC-0276,DEV-0174,CASE-0276,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-07
REC-0277,DEV-0171,CASE-0277,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-10
REC-0278,DEV-0137,CASE-0278,False Positive,Benign activity misclassified; no actual security incident.,2026-06-18
REC-0279,DEV-0115,CASE-0279,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-25
REC-0280,DEV-0200,CASE-0280,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-05-30
REC-0281,DEV-0038,CASE-0281,,,
REC-0282,DEV-0099,CASE-0282,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-05-27
REC-0283,DEV-0111,CASE-0283,,,
REC-0284,DEV-0005,CASE-0284,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-05-28
REC-0285,DEV-0158,CASE-0285,,,
REC-0286,DEV-0216,CASE-0286,False Positive,Benign activity misclassified; no actual security incident.,2026-06-14
REC-0287,DEV-0089,CASE-0287,False Positive,Benign activity misclassified; no actual security incident.,2026-06-19
REC-0288,DEV-0104,CASE-0288,,,
REC-0289,DEV-0052,CASE-0289,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-02
REC-0290,DEV-0246,CASE-0290,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-16
REC-0291,DEV-0060,CASE-0291,False Positive,Benign activity misclassified; no actual security incident.,2026-05-27
REC-0292,DEV-0206,CASE-0292,,,
REC-0293,DEV-0061,CASE-0293,False Positive,Benign activity misclassified; no actual security incident.,2026-06-18
REC-0294,DEV-0190,CASE-0294,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-04
REC-0295,DEV-0208,CASE-0295,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-11
REC-0296,DEV-0006,CASE-0296,,,
REC-0297,DEV-0196,CASE-0297,False Positive,Benign activity misclassified; no actual security incident.,2026-06-11
REC-0298,DEV-0225,CASE-0298,False Positive,Benign activity misclassified; no actual security incident.,2026-05-23
REC-0299,DEV-0094,CASE-0299,,,
REC-0300,DEV-0210,CASE-0300,,,
REC-0301,DEV-0231,CASE-0301,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-05-24
REC-0302,DEV-0209,CASE-0302,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-29
REC-0303,DEV-0124,CASE-0303,,,
REC-0304,DEV-0063,CASE-0304,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-29
REC-0305,DEV-0038,CASE-0305,,,
REC-0306,DEV-0137,CASE-0306,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-12
REC-0307,DEV-0194,CASE-0307,False Positive,Benign activity misclassified; no actual security incident.,2026-06-07
REC-0308,DEV-0047,CASE-0308,False Positive,Benign activity misclassified; no actual security incident.,2026-05-29
REC-0309,DEV-0113,CASE-0309,,,
REC-0310,DEV-0047,CASE-0310,,,
REC-0311,DEV-0096,CASE-0311,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-07
REC-0312,DEV-0084,CASE-0312,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-24
REC-0313,DEV-0217,CASE-0313,,,
REC-0314,DEV-0081,CASE-0314,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-05
REC-0315,DEV-0099,CASE-0315,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-25
REC-0316,DEV-0212,CASE-0316,,,
REC-0317,DEV-0084,CASE-0317,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-03
REC-0318,DEV-0171,CASE-0318,,,
REC-0319,DEV-0137,CASE-0319,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-12
REC-0320,DEV-0220,CASE-0320,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-31
REC-0321,DEV-0117,CASE-0321,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-28
REC-0322,DEV-0233,CASE-0322,,,
REC-0323,DEV-0208,CASE-0323,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-18
REC-0324,DEV-0074,CASE-0324,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-30
REC-0325,DEV-0071,CASE-0325,,,
REC-0326,DEV-0099,CASE-0326,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-17
REC-0327,DEV-0222,CASE-0327,,,
REC-0328,DEV-0095,CASE-0328,,,
REC-0329,DEV-0002,CASE-0329,,,
REC-0330,DEV-0113,CASE-0330,,,
REC-0331,DEV-0150,CASE-0331,,,
REC-0332,DEV-0006,CASE-0332,False Positive,Benign activity misclassified; no actual security incident.,2026-06-05
REC-0333,DEV-0078,CASE-0333,False Positive,Benign activity misclassified; no actual security incident.,2026-06-04
REC-0334,DEV-0012,CASE-0334,False Positive,Benign activity misclassified; no actual security incident.,2026-06-02
REC-0335,DEV-0059,CASE-0335,,,
REC-0336,DEV-0197,CASE-0336,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-04
REC-0337,DEV-0026,CASE-0337,,,
REC-0338,DEV-0033,CASE-0338,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-07
REC-0339,DEV-0188,CASE-0339,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-03
REC-0340,DEV-0087,CASE-0340,False Positive,Benign activity misclassified; no actual security incident.,2026-05-28
REC-0341,DEV-0031,CASE-0341,,,
REC-0342,DEV-0134,CASE-0342,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-19
REC-0343,DEV-0126,CASE-0343,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-08
REC-0344,DEV-0089,CASE-0344,,,
REC-0345,DEV-0004,CASE-0345,False Positive,Benign activity misclassified; no actual security incident.,2026-06-10
REC-0346,DEV-0170,CASE-0346,,,
REC-0347,DEV-0037,CASE-0347,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-11
REC-0348,DEV-0178,CASE-0348,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-26
REC-0349,DEV-0188,CASE-0349,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-12
REC-0350,DEV-0217,CASE-0350,False Positive,Benign activity misclassified; no actual security incident.,2026-06-16
REC-0351,DEV-0152,CASE-0351,,,
REC-0352,DEV-0021,CASE-0352,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-03
REC-0353,DEV-0246,CASE-0353,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-09
REC-0354,DEV-0133,CASE-0354,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-25
REC-0355,DEV-0027,CASE-0355,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-09
REC-0356,DEV-0190,CASE-0356,,,
REC-0357,DEV-0094,CASE-0357,False Positive,Benign activity misclassified; no actual security incident.,2026-06-11
REC-0358,DEV-0226,CASE-0358,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-12
REC-0359,DEV-0214,CASE-0359,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-07
REC-0360,DEV-0161,CASE-0360,,,
REC-0361,DEV-0039,CASE-0361,,,
REC-0362,DEV-0068,CASE-0362,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-08
REC-0363,DEV-0128,CASE-0363,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-11
REC-0364,DEV-0031,CASE-0364,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-19
REC-0365,DEV-0052,CASE-0365,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-14
REC-0366,DEV-0121,CASE-0366,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-11
REC-0367,DEV-0070,CASE-0367,,,
REC-0368,DEV-0109,CASE-0368,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-31
REC-0369,DEV-0097,CASE-0369,,,
REC-0370,DEV-0228,CASE-0370,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-15
REC-0371,DEV-0238,CASE-0371,False Positive,Benign activity misclassified; no actual security incident.,2026-06-09
REC-0372,DEV-0041,CASE-0372,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-27
REC-0373,DEV-0146,CASE-0373,,,
REC-0374,DEV-0107,CASE-0374,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-12
REC-0375,DEV-0194,CASE-0375,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-28
REC-0376,DEV-0152,CASE-0376,False Positive,Benign activity misclassified; no actual security incident.,2026-06-17
REC-0377,DEV-0090,CASE-0377,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-05
REC-0378,DEV-0013,CASE-0378,,,
REC-0379,DEV-0084,CASE-0379,,,
REC-0380,DEV-0018,CASE-0380,,,
REC-0381,DEV-0192,CASE-0381,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-07
REC-0382,DEV-0119,CASE-0382,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-05-29
REC-0383,DEV-0082,CASE-0383,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-20
REC-0384,DEV-0228,CASE-0384,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-04
REC-0385,DEV-0137,CASE-0385,,,
REC-0386,DEV-0085,CASE-0386,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-26
REC-0387,DEV-0226,CASE-0387,,,
REC-0388,DEV-0110,CASE-0388,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-05-26
REC-0389,DEV-0042,CASE-0389,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-03
REC-0390,DEV-0003,CASE-0390,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-19
REC-0391,DEV-0151,CASE-0391,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-05-29
REC-0392,DEV-0240,CASE-0392,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-05
REC-0393,DEV-0222,CASE-0393,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-25
REC-0394,DEV-0226,CASE-0394,,,
REC-0395,DEV-0121,CASE-0395,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-05-30
REC-0396,DEV-0009,CASE-0396,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-01
REC-0397,DEV-0098,CASE-0397,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-15
REC-0398,DEV-0201,CASE-0398,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-12
REC-0399,DEV-0027,CASE-0399,False Positive,Benign activity misclassified; no actual security incident.,2026-05-30
REC-0400,DEV-0084,CASE-0400,,,
REC-0401,DEV-0109,CASE-0401,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-04
REC-0402,DEV-0128,CASE-0402,,,
REC-0403,DEV-0147,CASE-0403,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-27
REC-0404,DEV-0238,CASE-0404,,,
REC-0405,DEV-0021,CASE-0405,,,
REC-0406,DEV-0019,CASE-0406,,,
REC-0407,DEV-0081,CASE-0407,,,
REC-0408,DEV-0211,CASE-0408,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-01
REC-0409,DEV-0065,CASE-0409,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-17
REC-0410,DEV-0072,CASE-0410,False Positive,Benign activity misclassified; no actual security incident.,2026-05-31
REC-0411,DEV-0004,CASE-0411,,,
REC-0412,DEV-0106,CASE-0412,False Positive,Benign activity misclassified; no actual security incident.,2026-06-14
REC-0413,DEV-0198,CASE-0413,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-29
REC-0414,DEV-0076,CASE-0414,,,
REC-0415,DEV-0187,CASE-0415,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-31
REC-0416,DEV-0249,CASE-0416,False Positive,Benign activity misclassified; no actual security incident.,2026-06-13
REC-0417,DEV-0237,CASE-0417,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-01
REC-0418,DEV-0067,CASE-0418,,,
REC-0419,DEV-0125,CASE-0419,,,
REC-0420,DEV-0231,CASE-0420,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-30
REC-0421,DEV-0002,CASE-0421,False Positive,Benign activity misclassified; no actual security incident.,2026-05-23
REC-0422,DEV-0053,CASE-0422,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-27
REC-0423,DEV-0029,CASE-0423,False Positive,Benign activity misclassified; no actual security incident.,2026-06-02
REC-0424,DEV-0159,CASE-0424,,,
REC-0425,DEV-0010,CASE-0425,False Positive,Benign activity misclassified; no actual security incident.,2026-06-09
REC-0426,DEV-0123,CASE-0426,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-10
REC-0427,DEV-0217,CASE-0427,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-27
REC-0428,DEV-0094,CASE-0428,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-15
REC-0429,DEV-0179,CASE-0429,,,
REC-0430,DEV-0180,CASE-0430,False Positive,Benign activity misclassified; no actual security incident.,2026-06-01
REC-0431,DEV-0117,CASE-0431,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-14
REC-0432,DEV-0059,CASE-0432,,,
REC-0433,DEV-0234,CASE-0433,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-16
REC-0434,DEV-0032,CASE-0434,,,
REC-0435,DEV-0100,CASE-0435,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-28
REC-0436,DEV-0159,CASE-0436,False Positive,Benign activity misclassified; no actual security incident.,2026-05-25
REC-0437,DEV-0132,CASE-0437,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-02
REC-0438,DEV-0009,CASE-0438,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-02
REC-0439,DEV-0106,CASE-0439,,,
REC-0440,DEV-0044,CASE-0440,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-17
REC-0441,DEV-0068,CASE-0441,,,
REC-0442,DEV-0106,CASE-0442,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-03
REC-0443,DEV-0049,CASE-0443,,,
REC-0444,DEV-0008,CASE-0444,,,
REC-0445,DEV-0188,CASE-0445,,,
REC-0446,DEV-0022,CASE-0446,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-17
REC-0447,DEV-0046,CASE-0447,,,
REC-0448,DEV-0022,CASE-0448,,,
REC-0449,DEV-0186,CASE-0449,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-04
REC-0450,DEV-0139,CASE-0450,False Positive,Benign activity misclassified; no actual security incident.,2026-06-13
REC-0451,DEV-0247,CASE-0451,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-05-30
REC-0452,DEV-0029,CASE-0452,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-20
REC-0453,DEV-0247,CASE-0453,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-08
REC-0454,DEV-0099,CASE-0454,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-12
REC-0455,DEV-0103,CASE-0455,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-30
REC-0456,DEV-0051,CASE-0456,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-29
REC-0457,DEV-0212,CASE-0457,,,
REC-0458,DEV-0232,CASE-0458,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-12
REC-0459,DEV-0004,CASE-0459,,,
REC-0460,DEV-0142,CASE-0460,,,
REC-0461,DEV-0219,CASE-0461,,,
REC-0462,DEV-0241,CASE-0462,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-18
REC-0463,DEV-0001,CASE-0463,,,
REC-0464,DEV-0240,CASE-0464,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-01
REC-0465,DEV-0053,CASE-0465,,,
REC-0466,DEV-0108,CASE-0466,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-01
REC-0467,DEV-0118,CASE-0467,False Positive,Benign activity misclassified; no actual security incident.,2026-06-07
REC-0468,DEV-0086,CASE-0468,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-24
REC-0469,DEV-0095,CASE-0469,False Positive,Benign activity misclassified; no actual security incident.,2026-06-05
REC-0470,DEV-0238,CASE-0470,False Positive,Benign activity misclassified; no actual security incident.,2026-06-21
REC-0471,DEV-0107,CASE-0471,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-25
REC-0472,DEV-0200,CASE-0472,,,
REC-0473,DEV-0242,CASE-0473,False Positive,Benign activity misclassified; no actual security incident.,2026-06-13
REC-0474,DEV-0151,CASE-0474,,,
REC-0475,DEV-0068,CASE-0475,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-02
REC-0476,DEV-0006,CASE-0476,False Positive,Benign activity misclassified; no actual security incident.,2026-05-25
REC-0477,DEV-0236,CASE-0477,,,
REC-0478,DEV-0207,CASE-0478,,,
REC-0479,DEV-0038,CASE-0479,False Positive,Benign activity misclassified; no actual security incident.,2026-06-11
REC-0480,DEV-0186,CASE-0480,,,
REC-0481,DEV-0153,CASE-0481,,,
REC-0482,DEV-0077,CASE-0482,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-02
REC-0483,DEV-0240,CASE-0483,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-28
REC-0484,DEV-0223,CASE-0484,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-26
REC-0485,DEV-0156,CASE-0485,,,
