recommendation_id,device_id,similar_case_id,outcome,resolution
REC-0001,DEV-0103,CASE-0641,False Positive,Dismissed; benign root cause confirmed
REC-0002,DEV-0038,CASE-0162,Recommendation Correct,Approved and threat verified
REC-0003,DEV-0244,CASE-0371,Recommendation Correct,Approved and threat verified
REC-0004,DEV-0172,CASE-0215,Recommendation Correct,Approved and threat verified
REC-0005,DEV-0228,CASE-0377,Recommendation Correct,Approved and threat verified
REC-0006,DEV-0089,CASE-0800,Recommendation Correct,Approved and threat verified
REC-0007,DEV-0162,CASE-0410,Recommendation Correct,Approved and threat verified
REC-0008,DEV-0103,CASE-0752,Recommendation Correct,Approved and threat verified
REC-0009,DEV-0036,CASE-0831,Recommendation Incorrect,Overridden after investigation
REC-0010,DEV-0225,CASE-0923,Recommendation Incorrect,Overridden after investigation
REC-0011,DEV-0113,CASE-0003,False Negative,Escalated; incident response initiated
REC-0012,DEV-0147,CASE-0740,False Positive,Dismissed; benign root cause confirmed
REC-0013,DEV-0097,CASE-0494,Recommendation Correct,Approved and threat verified
REC-0014,DEV-0220,CASE-0508,False Positive,Dismissed; benign root cause confirmed
REC-0015,DEV-0233,CASE-0332,Recommendation Correct,Approved and threat verified
REC-0016,DEV-0093,CASE-0776,False Negative,Escalated; incident response initiated
REC-0017,DEV-0204,CASE-0681,Recommendation Correct,Approved and threat verified
REC-0018,DEV-0061,CASE-0206,Recommendation Correct,Approved and threat verified
REC-0019,DEV-0225,CASE-0505,Recommendation Correct,Approved and threat verified
REC-0020,DEV-0234,CASE-0304,Recommendation Correct,Approved and threat verified
REC-0021,DEV-0065,CASE-0087,False Positive,Dismissed; benign root cause confirmed
REC-0022,DEV-0170,CASE-0428,False Positive,Dismissed; benign root cause confirmed
REC-0023,DEV-0013,CASE-0626,Recommendation Correct,Approved and threat verified
REC-0024,DEV-0122,CASE-0541,Recommendation Correct,Approved and threat verified
REC-0025,DEV-0144,CASE-0078,Recommendation Correct,Approved and threat verified
REC-0026,DEV-0222,CASE-0098,False Positive,Dismissed; benign root cause confirmed
REC-0027,DEV-0219,CASE-0679,False Positive,Dismissed; benign root cause confirmed
REC-0028,DEV-0012,CASE-0809,Recommendation Correct,Approved and threat verified
REC-0029,DEV-0120,CASE-0337,False Negative,Escalated; incident response initiated
REC-0030,DEV-0113,CASE-0971,Recommendation Correct,Approved and threat verified
REC-0031,DEV-0076,CASE-0305,Recommendation Correct,Approved and threat verified
REC-0032,DEV-0109,CASE-0490,False Positive,Dismissed; benign root cause confirmed
REC-0033,DEV-0170,CASE-0932,Recommendation Correct,Approved and threat verified
REC-0034,DEV-0070,CASE-0853,Recommendation Correct,Approved and threat verified
REC-0035,DEV-0001,CASE-0745,Recommendation Correct,Approved and threat verified
REC-0036,DEV-0227,CASE-0055,False Negative,Escalated; incident response initiated
REC-0037,DEV-0122,CASE-0441,Recommendation Correct,Approved and threat verified
REC-0038,DEV-0046,CASE-0845,False Positive,Dismissed; benign root cause confirmed
REC-0039,DEV-0011,CASE-0764,Recommendation Correct,Approved and threat verified
REC-0040,DEV-0181,CASE-0125,Recommendation Correct,Approved and threat verified
REC-0041,DEV-0154,CASE-0317,False Positive,Dismissed; benign root cause confirmed
REC-0042,DEV-0103,CASE-0581,Recommendation Correct,Approved and threat verified
REC-0043,DEV-0029,CASE-0651,Recommendation Correct,Approved and threat verified
REC-0044,DEV-0183,CASE-0811,Recommendation Correct,Approved and threat verified
REC-0045,DEV-0021,CASE-0580,Recommendation Correct,Approved and threat verified
REC-0046,DEV-0121,CASE-0571,False Positive,Dismissed; benign root cause confirmed
REC-0047,DEV-0215,CASE-0904,Recommendation Incorrect,Overridden after investigation
REC-0048,DEV-0202,CASE-0461,Recommendation Correct,Approved and threat verified
REC-0049,DEV-0111,CASE-0220,Recommendation Correct,Approved and threat verified
REC-0050,DEV-0070,CASE-0101,False Positive,Dismissed; benign root cause confirmed
REC-0051,DEV-0079,CASE-0730,Recommendation Correct,Approved and threat verified
REC-0052,DEV-0212,CASE-0331,False Positive,Dismissed; benign root cause confirmed
REC-0053,DEV-0151,CASE-0339,False Positive,Dismissed; benign root cause confirmed
REC-0054,DEV-0062,CASE-0165,Recommendation Incorrect,Overridden after investigation
REC-0055,DEV-0060,CASE-0723,Recommendation Correct,Approved and threat verified
REC-0056,DEV-0097,CASE-0728,False Positive,Dismissed; benign root cause confirmed
REC-0057,DEV-0192,CASE-0376,Recommendation Correct,Approved and threat verified
REC-0058,DEV-0123,CASE-0083,Recommendation Correct,Approved and threat verified
REC-0059,DEV-0155,CASE-0478,False Negative,Escalated; incident response initiated
REC-0060,DEV-0218,CASE-0369,Recommendation Correct,Approved and threat verified
REC-0061,DEV-0246,CASE-0969,Recommendation Correct,Approved and threat verified
REC-0062,DEV-0201,CASE-0720,Recommendation Correct,Approved and threat verified
REC-0063,DEV-0108,CASE-0456,Recommendation Correct,Approved and threat verified
REC-0064,DEV-0148,CASE-0953,False Positive,Dismissed; benign root cause confirmed
REC-0065,DEV-0001,CASE-0355,Recommendation Correct,Approved and threat verified
REC-0066,DEV-0124,CASE-0210,Recommendation Correct,Approved and threat verified
REC-0067,DEV-0051,CASE-0976,False Positive,Dismissed; benign root cause confirmed
REC-0068,DEV-0161,CASE-0800,Recommendation Correct,Approved and threat verified
REC-0069,DEV-0166,CASE-0011,Recommendation Correct,Approved and threat verified
REC-0070,DEV-0009,CASE-0580,Recommendation Correct,Approved and threat verified
REC-0071,DEV-0100,CASE-0622,Recommendation Incorrect,Overridden after investigation
REC-0072,DEV-0237,CASE-0993,Recommendation Correct,Approved and threat verified
REC-0073,DEV-0011,CASE-0032,False Positive,Dismissed; benign root cause confirmed
REC-0074,DEV-0109,CASE-0251,Recommendation Incorrect,Overridden after investigation
REC-0075,DEV-0222,CASE-0355,False Positive,Dismissed; benign root cause confirmed
REC-0076,DEV-0200,CASE-0298,Recommendation Correct,Approved and threat verified
REC-0077,DEV-0137,CASE-0512,Recommendation Correct,Approved and threat verified
REC-0078,DEV-0098,CASE-0374,Recommendation Correct,Approved and threat verified
REC-0079,DEV-0108,CASE-0132,Recommendation Correct,Approved and threat verified
REC-0080,DEV-0245,CASE-0910,Recommendation Correct,Approved and threat verified
REC-0081,DEV-0146,CASE-0229,Recommendation Correct,Approved and threat verified
REC-0082,DEV-0077,CASE-0797,Recommendation Correct,Approved and threat verified
REC-0083,DEV-0047,CASE-0495,Recommendation Correct,Approved and threat verified
REC-0084,DEV-0142,CASE-0864,Recommendation Correct,Approved and threat verified
REC-0085,DEV-0226,CASE-0717,False Negative,Escalated; incident response initiated
REC-0086,DEV-0067,CASE-0008,Recommendation Correct,Approved and threat verified
REC-0087,DEV-0155,CASE-0016,Recommendation Correct,Approved and threat verified
REC-0088,DEV-0039,CASE-0093,Recommendation Correct,Approved and threat verified
REC-0089,DEV-0156,CASE-0161,Recommendation Correct,Approved and threat verified
REC-0090,DEV-0014,CASE-0317,Recommendation Correct,Approved and threat verified
REC-0091,DEV-0226,CASE-0486,Recommendation Correct,Approved and threat verified
REC-0092,DEV-0092,CASE-0528,Recommendation Correct,Approved and threat verified
REC-0093,DEV-0015,CASE-0933,Recommendation Correct,Approved and threat verified
REC-0094,DEV-0148,CASE-0068,Recommendation Correct,Approved and threat verified
REC-0095,DEV-0205,CASE-0821,False Positive,Dismissed; benign root cause confirmed
REC-0096,DEV-0145,CASE-0926,False Positive,Dismissed; benign root cause confirmed
REC-0097,DEV-0150,CASE-0279,Recommendation Correct,Approved and threat verified
REC-0098,DEV-0041,CASE-0634,Recommendation Correct,Approved and threat verified
REC-0099,DEV-0188,CASE-0522,Recommendation Correct,Approved and threat verified
REC-0100,DEV-0082,CASE-0358,False Negative,Escalated; incident response initiated
REC-0101,DEV-0186,CASE-0673,Recommendation Incorrect,Overridden after investigation
REC-0102,DEV-0079,CASE-0471,Recommendation Correct,Approved and threat verified
REC-0103,DEV-0172,CASE-0560,Recommendation Correct,Approved and threat verified
REC-0104,DEV-0066,CASE-0634,Recommendation Correct,Approved and threat verified
REC-0105,DEV-0133,CASE-0255,False Negative,Escalated; incident response initiated
REC-0106,DEV-0148,CASE-0280,Recommendation Correct,Approved and threat verified
REC-0107,DEV-0242,CASE-0162,Recommendation Correct,Approved and threat verified
REC-0108,DEV-0234,CASE-0990,Recommendation Correct,Approved and threat verified
REC-0109,DEV-0114,CASE-0297,Recommendation Incorrect,Overridden after investigation
REC-0110,DEV-0220,CASE-0660,False Positive,Dismissed; benign root cause confirmed
REC-0111,DEV-0198,CASE-0697,Recommendation Correct,Approved and threat verified
REC-0112,DEV-0060,CASE-0537,Recommendation Correct,Approved and threat verified
REC-0113,DEV-0156,CASE-0515,Recommendation Correct,Approved and threat verified
REC-0114,DEV-0151,CASE-0430,Recommendation Correct,Approved and threat verified
REC-0115,DEV-0239,CASE-0330,False Positive,Dismissed; benign root cause confirmed
REC-0116,DEV-0189,CASE-0598,Recommendation Correct,Approved and threat verified
REC-0117,DEV-0009,CASE-0783,Recommendation Correct,Approved and threat verified
REC-0118,DEV-0147,CASE-0382,False Negative,Escalated; incident response initiated
REC-0119,DEV-0201,CASE-0295,Recommendation Correct,Approved and threat verified
REC-0120,DEV-0218,CASE-0678,Recommendation Correct,Approved and threat verified
REC-0121,DEV-0130,CASE-0214,False Positive,Dismissed; benign root cause confirmed
REC-0122,DEV-0098,CASE-0669,Recommendation Correct,Approved and threat verified
REC-0123,DEV-0212,CASE-0159,Recommendation Correct,Approved and threat verified
REC-0124,DEV-0204,CASE-0739,Recommendation Correct,Approved and threat verified
REC-0125,DEV-0210,CASE-0022,Recommendation Correct,Approved and threat verified
REC-0126,DEV-0206,CASE-0741,Recommendation Correct,Approved and threat verified
REC-0127,DEV-0033,CASE-0149,False Negative,Escalated; incident response initiated
REC-0128,DEV-0079,CASE-0007,False Positive,Dismissed; benign root cause confirmed
REC-0129,DEV-0243,CASE-0804,Recommendation Correct,Approved and threat verified
REC-0130,DEV-0080,CASE-0762,Recommendation Correct,Approved and threat verified
REC-0131,DEV-0062,CASE-0926,Recommendation Correct,Approved and threat verified
REC-0132,DEV-0215,CASE-0967,Recommendation Correct,Approved and threat verified
REC-0133,DEV-0196,CASE-0584,Recommendation Correct,Approved and threat verified
REC-0134,DEV-0129,CASE-0571,Recommendation Correct,Approved and threat verified
REC-0135,DEV-0160,CASE-0157,False Negative,Escalated; incident response initiated
REC-0136,DEV-0180,CASE-0129,False Positive,Dismissed; benign root cause confirmed
REC-0137,DEV-0195,CASE-0172,False Positive,Dismissed; benign root cause confirmed
REC-0138,DEV-0160,CASE-0877,Recommendation Correct,Approved and threat verified
REC-0139,DEV-0032,CASE-0163,Recommendation Correct,Approved and threat verified
REC-0140,DEV-0235,CASE-0497,False Positive,Dismissed; benign root cause confirmed
REC-0141,DEV-0189,CASE-0390,False Positive,Dismissed; benign root cause confirmed
REC-0142,DEV-0003,CASE-0806,Recommendation Correct,Approved and threat verified
REC-0143,DEV-0143,CASE-0553,Recommendation Correct,Approved and threat verified
REC-0144,DEV-0024,CASE-0457,Recommendation Correct,Approved and threat verified
REC-0145,DEV-0055,CASE-0950,Recommendation Correct,Approved and threat verified
REC-0146,DEV-0100,CASE-0287,Recommendation Correct,Approved and threat verified
REC-0147,DEV-0145,CASE-0369,Recommendation Correct,Approved and threat verified
REC-0148,DEV-0081,CASE-0186,Recommendation Correct,Approved and threat verified
REC-0149,DEV-0126,CASE-0262,False Negative,Escalated; incident response initiated
REC-0150,DEV-0086,CASE-0829,Recommendation Correct,Approved and threat verified
REC-0151,DEV-0021,CASE-0745,Recommendation Correct,Approved and threat verified
REC-0152,DEV-0057,CASE-0494,False Negative,Escalated; incident response initiated
REC-0153,DEV-0127,CASE-0509,False Positive,Dismissed; benign root cause confirmed
REC-0154,DEV-0074,CASE-0066,Recommendation Correct,Approved and threat verified
REC-0155,DEV-0049,CASE-0371,False Positive,Dismissed; benign root cause confirmed
REC-0156,DEV-0058,CASE-0123,Recommendation Correct,Approved and threat verified
REC-0157,DEV-0147,CASE-0004,Recommendation Correct,Approved and threat verified
REC-0158,DEV-0060,CASE-0412,False Positive,Dismissed; benign root cause confirmed
REC-0159,DEV-0107,CASE-0487,Recommendation Correct,Approved and threat verified
REC-0160,DEV-0004,CASE-0333,False Positive,Dismissed; benign root cause confirmed
REC-0161,DEV-0116,CASE-0577,Recommendation Correct,Approved and threat verified
REC-0162,DEV-0156,CASE-0270,Recommendation Correct,Approved and threat verified
REC-0163,DEV-0033,CASE-0440,Recommendation Correct,Approved and threat verified
REC-0164,DEV-0047,CASE-0335,Recommendation Correct,Approved and threat verified
REC-0165,DEV-0219,CASE-0606,False Positive,Dismissed; benign root cause confirmed
REC-0166,DEV-0176,CASE-0115,Recommendation Correct,Approved and threat verified
REC-0167,DEV-0244,CASE-0758,False Positive,Dismissed; benign root cause confirmed
REC-0168,DEV-0196,CASE-0032,False Positive,Dismissed; benign root cause confirmed
REC-0169,DEV-0064,CASE-0718,Recommendation Correct,Approved and threat verified
REC-0170,DEV-0045,CASE-0305,Recommendation Correct,Approved and threat verified
REC-0171,DEV-0179,CASE-0345,False Positive,Dismissed; benign root cause confirmed
REC-0172,DEV-0061,CASE-0167,Recommendation Correct,Approved and threat verified
REC-0173,DEV-0189,CASE-0965,False Positive,Dismissed; benign root cause confirmed
REC-0174,DEV-0088,CASE-0273,False Positive,Dismissed; benign root cause confirmed
REC-0175,DEV-0189,CASE-0362,False Positive,Dismissed; benign root cause confirmed
REC-0176,DEV-0068,CASE-0192,False Positive,Dismissed; benign root cause confirmed
REC-0177,DEV-0142,CASE-0506,False Positive,Dismissed; benign root cause confirmed
REC-0178,DEV-0163,CASE-0306,Recommendation Correct,Approved and threat verified
REC-0179,DEV-0099,CASE-0988,Recommendation Correct,Approved and threat verified
REC-0180,DEV-0118,CASE-0307,False Negative,Escalated; incident response initiated
REC-0181,DEV-0220,CASE-0333,Recommendation Correct,Approved and threat verified
REC-0182,DEV-0158,CASE-0334,False Negative,Escalated; incident response initiated
REC-0183,DEV-0170,CASE-0924,Recommendation Correct,Approved and threat verified
REC-0184,DEV-0233,CASE-0394,Recommendation Correct,Approved and threat verified
REC-0185,DEV-0243,CASE-0692,Recommendation Correct,Approved and threat verified
REC-0186,DEV-0028,CASE-0577,Recommendation Correct,Approved and threat verified
REC-0187,DEV-0209,CASE-0950,False Positive,Dismissed; benign root cause confirmed
REC-0188,DEV-0216,CASE-0363,False Negative,Escalated; incident response initiated
REC-0189,DEV-0048,CASE-0960,Recommendation Incorrect,Overridden after investigation
REC-0190,DEV-0093,CASE-0661,Recommendation Correct,Approved and threat verified
REC-0191,DEV-0026,CASE-0091,Recommendation Correct,Approved and threat verified
REC-0192,DEV-0191,CASE-0204,Recommendation Incorrect,Overridden after investigation
REC-0193,DEV-0061,CASE-0611,False Positive,Dismissed; benign root cause confirmed
REC-0194,DEV-0215,CASE-0044,False Positive,Dismissed; benign root cause confirmed
REC-0195,DEV-0081,CASE-0609,Recommendation Incorrect,Overridden after investigation
REC-0196,DEV-0215,CASE-0435,False Positive,Dismissed; benign root cause confirmed
REC-0197,DEV-0008,CASE-0794,Recommendation Correct,Approved and threat verified
REC-0198,DEV-0083,CASE-0491,Recommendation Correct,Approved and threat verified
REC-0199,DEV-0235,CASE-0248,Recommendation Correct,Approved and threat verified
REC-0200,DEV-0103,CASE-0957,Recommendation Incorrect,Overridden after investigation
REC-0201,DEV-0137,CASE-0866,False Positive,Dismissed; benign root cause confirmed
REC-0202,DEV-0236,CASE-0634,Recommendation Correct,Approved and threat verified
REC-0203,DEV-0002,CASE-0900,Recommendation Incorrect,Overridden after investigation
REC-0204,DEV-0084,CASE-0419,Recommendation Correct,Approved and threat verified
REC-0205,DEV-0033,CASE-0685,Recommendation Correct,Approved and threat verified
REC-0206,DEV-0214,CASE-0938,Recommendation Correct,Approved and threat verified
REC-0207,DEV-0096,CASE-0927,Recommendation Correct,Approved and threat verified
REC-0208,DEV-0200,CASE-0057,False Positive,Dismissed; benign root cause confirmed
REC-0209,DEV-0084,CASE-0631,Recommendation Correct,Approved and threat verified
REC-0210,DEV-0141,CASE-0763,False Negative,Escalated; incident response initiated
REC-0211,DEV-0068,CASE-0456,False Positive,Dismissed; benign root cause confirmed
REC-0212,DEV-0004,CASE-0341,False Negative,Escalated; incident response initiated
REC-0213,DEV-0171,CASE-0182,Recommendation Correct,Approved and threat verified
REC-0214,DEV-0055,CASE-0264,Recommendation Correct,Approved and threat verified
REC-0215,DEV-0160,CASE-0182,Recommendation Correct,Approved and threat verified
REC-0216,DEV-0091,CASE-0138,Recommendation Correct,Approved and threat verified
REC-0217,DEV-0221,CASE-0454,Recommendation Correct,Approved and threat verified
REC-0218,DEV-0106,CASE-0087,False Positive,Dismissed; benign root cause confirmed
REC-0219,DEV-0027,CASE-0092,Recommendation Correct,Approved and threat verified
REC-0220,DEV-0169,CASE-0186,Recommendation Correct,Approved and threat verified
REC-0221,DEV-0243,CASE-0664,Recommendation Correct,Approved and threat verified
REC-0222,DEV-0016,CASE-0533,Recommendation Correct,Approved and threat verified
REC-0223,DEV-0048,CASE-0485,Recommendation Correct,Approved and threat verified
REC-0224,DEV-0122,CASE-0156,False Negative,Escalated; incident response initiated
REC-0225,DEV-0192,CASE-0619,False Positive,Dismissed; benign root cause confirmed
REC-0226,DEV-0216,CASE-0035,Recommendation Correct,Approved and threat verified
REC-0227,DEV-0202,CASE-0393,Recommendation Correct,Approved and threat verified
REC-0228,DEV-0210,CASE-0388,False Positive,Dismissed; benign root cause confirmed
REC-0229,DEV-0062,CASE-0297,False Positive,Dismissed; benign root cause confirmed
REC-0230,DEV-0221,CASE-0854,Recommendation Correct,Approved and threat verified
REC-0231,DEV-0082,CASE-0039,Recommendation Incorrect,Overridden after investigation
REC-0232,DEV-0183,CASE-0753,Recommendation Correct,Approved and threat verified
REC-0233,DEV-0073,CASE-0496,Recommendation Correct,Approved and threat verified
REC-0234,DEV-0149,CASE-0882,False Negative,Escalated; incident response initiated
REC-0235,DEV-0106,CASE-0994,Recommendation Correct,Approved and threat verified
REC-0236,DEV-0154,CASE-0740,False Positive,Dismissed; benign root cause confirmed
REC-0237,DEV-0176,CASE-0765,False Positive,Dismissed; benign root cause confirmed
REC-0238,DEV-0131,CASE-0623,Recommendation Correct,Approved and threat verified
REC-0239,DEV-0037,CASE-0298,Recommendation Correct,Approved and threat verified
REC-0240,DEV-0098,CASE-0304,Recommendation Correct,Approved and threat verified
REC-0241,DEV-0102,CASE-0899,Recommendation Correct,Approved and threat verified
REC-0242,DEV-0056,CASE-0969,Recommendation Incorrect,Overridden after investigation
REC-0243,DEV-0039,CASE-0647,Recommendation Incorrect,Overridden after investigation
REC-0244,DEV-0057,CASE-0293,False Positive,Dismissed; benign root cause confirmed
REC-0245,DEV-0108,CASE-0077,False Positive,Dismissed; benign root cause confirmed
REC-0246,DEV-0011,CASE-0790,Recommendation Incorrect,Overridden after investigation
REC-0247,DEV-0175,CASE-0739,False Negative,Escalated; incident response initiated
REC-0248,DEV-0195,CASE-0863,Recommendation Incorrect,Overridden after investigation
REC-0249,DEV-0156,CASE-0292,False Positive,Dismissed; benign root cause confirmed
REC-0250,DEV-0015,CASE-0157,Recommendation Correct,Approved and threat verified
REC-0251,DEV-0049,CASE-0424,False Negative,Escalated; incident response initiated
REC-0252,DEV-0116,CASE-0601,Recommendation Incorrect,Overridden after investigation
REC-0253,DEV-0101,CASE-0761,False Negative,Escalated; incident response initiated
REC-0254,DEV-0215,CASE-0616,Recommendation Correct,Approved and threat verified
REC-0255,DEV-0130,CASE-0422,False Positive,Dismissed; benign root cause confirmed
REC-0256,DEV-0166,CASE-0274,Recommendation Incorrect,Overridden after investigation
REC-0257,DEV-0028,CASE-0936,Recommendation Correct,Approved and threat verified
REC-0258,DEV-0104,CASE-0115,Recommendation Incorrect,Overridden after investigation
REC-0259,DEV-0095,CASE-0073,Recommendation Correct,Approved and threat verified
REC-0260,DEV-0183,CASE-0406,Recommendation Correct,Approved and threat verified
REC-0261,DEV-0153,CASE-0976,Recommendation Incorrect,Overridden after investigation
REC-0262,DEV-0153,CASE-0259,False Positive,Dismissed; benign root cause confirmed
REC-0263,DEV-0202,CASE-0832,Recommendation Correct,Approved and threat verified
REC-0264,DEV-0119,CASE-0486,False Positive,Dismissed; benign root cause confirmed
REC-0265,DEV-0043,CASE-0642,False Positive,Dismissed; benign root cause confirmed
REC-0266,DEV-0179,CASE-0075,False Positive,Dismissed; benign root cause confirmed
REC-0267,DEV-0042,CASE-0505,Recommendation Correct,Approved and threat verified
REC-0268,DEV-0126,CASE-0900,False Positive,Dismissed; benign root cause confirmed
REC-0269,DEV-0101,CASE-0540,False Positive,Dismissed; benign root cause confirmed
REC-0270,DEV-0128,CASE-0144,Recommendation Correct,Approved and threat verified
REC-0271,DEV-0018,CASE-0407,Recommendation Correct,Approved and threat verified
REC-0272,DEV-0076,CASE-0277,False Positive,Dismissed; benign root cause confirmed
REC-0273,DEV-0211,CASE-0314,False Positive,Dismissed; benign root cause confirmed
REC-0274,DEV-0096,CASE-0945,False Positive,Dismissed; benign root cause confirmed
REC-0275,DEV-0031,CASE-0668,Recommendation Correct,Approved and threat verified
REC-0276,DEV-0174,CASE-0644,Recommendation Correct,Approved and threat verified
REC-0277,DEV-0171,CASE-0956,Recommendation Correct,Approved and threat verified
REC-0278,DEV-0137,CASE-0103,Recommendation Correct,Approved and threat verified
REC-0279,DEV-0115,CASE-0601,False Positive,Dismissed; benign root cause confirmed
REC-0280,DEV-0200,CASE-0105,Recommendation Correct,Approved and threat verified
REC-0281,DEV-0038,CASE-0069,Recommendation Correct,Approved and threat verified
REC-0282,DEV-0099,CASE-0153,False Positive,Dismissed; benign root cause confirmed
REC-0283,DEV-0111,CASE-0035,Recommendation Correct,Approved and threat verified
REC-0284,DEV-0005,CASE-0106,False Positive,Dismissed; benign root cause confirmed
REC-0285,DEV-0158,CASE-0074,Recommendation Correct,Approved and threat verified
REC-0286,DEV-0216,CASE-0285,False Positive,Dismissed; benign root cause confirmed
REC-0287,DEV-0089,CASE-0280,Recommendation Incorrect,Overridden after investigation
REC-0288,DEV-0104,CASE-0817,Recommendation Correct,Approved and threat verified
REC-0289,DEV-0052,CASE-0666,Recommendation Correct,Approved and threat verified
REC-0290,DEV-0246,CASE-0932,Recommendation Correct,Approved and threat verified
REC-0291,DEV-0060,CASE-0312,False Negative,Escalated; incident response initiated
REC-0292,DEV-0206,CASE-0026,False Positive,Dismissed; benign root cause confirmed
REC-0293,DEV-0061,CASE-0945,Recommendation Correct,Approved and threat verified
REC-0294,DEV-0190,CASE-0293,Recommendation Correct,Approved and threat verified
REC-0295,DEV-0208,CASE-0053,False Positive,Dismissed; benign root cause confirmed
REC-0296,DEV-0006,CASE-0467,Recommendation Incorrect,Overridden after investigation
REC-0297,DEV-0196,CASE-0869,False Positive,Dismissed; benign root cause confirmed
REC-0298,DEV-0225,CASE-0002,Recommendation Correct,Approved and threat verified
REC-0299,DEV-0094,CASE-0212,Recommendation Incorrect,Overridden after investigation
REC-0300,DEV-0210,CASE-0529,Recommendation Correct,Approved and threat verified
REC-0301,DEV-0231,CASE-0519,Recommendation Correct,Approved and threat verified
REC-0302,DEV-0209,CASE-0912,Recommendation Correct,Approved and threat verified
REC-0303,DEV-0124,CASE-0403,False Negative,Escalated; incident response initiated
REC-0304,DEV-0063,CASE-0384,Recommendation Correct,Approved and threat verified
REC-0305,DEV-0038,CASE-0091,Recommendation Correct,Approved and threat verified
REC-0306,DEV-0137,CASE-0437,Recommendation Correct,Approved and threat verified
REC-0307,DEV-0194,CASE-0043,Recommendation Correct,Approved and threat verified
REC-0308,DEV-0047,CASE-0993,False Positive,Dismissed; benign root cause confirmed
REC-0309,DEV-0113,CASE-0876,Recommendation Incorrect,Overridden after investigation
REC-0310,DEV-0047,CASE-0862,False Positive,Dismissed; benign root cause confirmed
REC-0311,DEV-0096,CASE-0209,Recommendation Correct,Approved and threat verified
REC-0312,DEV-0084,CASE-0114,Recommendation Correct,Approved and threat verified
REC-0313,DEV-0217,CASE-0063,Recommendation Correct,Approved and threat verified
REC-0314,DEV-0081,CASE-0404,Recommendation Correct,Approved and threat verified
REC-0315,DEV-0099,CASE-0161,Recommendation Correct,Approved and threat verified
REC-0316,DEV-0212,CASE-0653,Recommendation Correct,Approved and threat verified
REC-0317,DEV-0084,CASE-0663,Recommendation Correct,Approved and threat verified
REC-0318,DEV-0171,CASE-0344,Recommendation Correct,Approved and threat verified
REC-0319,DEV-0137,CASE-0414,Recommendation Incorrect,Overridden after investigation
REC-0320,DEV-0220,CASE-0281,Recommendation Correct,Approved and threat verified
REC-0321,DEV-0117,CASE-0154,Recommendation Correct,Approved and threat verified
REC-0322,DEV-0233,CASE-0039,Recommendation Incorrect,Overridden after investigation
REC-0323,DEV-0208,CASE-0621,Recommendation Incorrect,Overridden after investigation
REC-0324,DEV-0074,CASE-0489,Recommendation Correct,Approved and threat verified
REC-0325,DEV-0071,CASE-0937,False Positive,Dismissed; benign root cause confirmed
REC-0326,DEV-0099,CASE-0172,Recommendation Correct,Approved and threat verified
REC-0327,DEV-0222,CASE-0405,Recommendation Correct,Approved and threat verified
REC-0328,DEV-0095,CASE-0554,False Positive,Dismissed; benign root cause confirmed
REC-0329,DEV-0002,CASE-0664,False Positive,Dismissed; benign root cause confirmed
REC-0330,DEV-0113,CASE-0385,Recommendation Correct,Approved and threat verified
REC-0331,DEV-0150,CASE-0566,Recommendation Correct,Approved and threat verified
REC-0332,DEV-0006,CASE-0383,Recommendation Correct,Approved and threat verified
REC-0333,DEV-0078,CASE-0554,Recommendation Correct,Approved and threat verified
